province,date,HA,cases
Nunavut,2020-01-25,Nunavut,0
Nunavut,2020-01-26,Nunavut,0
Nunavut,2020-01-27,Nunavut,0
Nunavut,2020-01-28,Nunavut,0
Nunavut,2020-01-29,Nunavut,0
Nunavut,2020-01-30,Nunavut,0
Nunavut,2020-01-31,Nunavut,0
Nunavut,2020-02-01,Nunavut,0
Nunavut,2020-02-02,Nunavut,0
Nunavut,2020-02-03,Nunavut,0
Nunavut,2020-02-04,Nunavut,0
Nunavut,2020-02-05,Nunavut,0
Nunavut,2020-02-06,Nunavut,0
Nunavut,2020-02-07,Nunavut,0
Nunavut,2020-02-08,Nunavut,0
Nunavut,2020-02-09,Nunavut,0
Nunavut,2020-02-10,Nunavut,0
Nunavut,2020-02-11,Nunavut,0
Nunavut,2020-02-12,Nunavut,0
Nunavut,2020-02-13,Nunavut,0
Nunavut,2020-02-14,Nunavut,0
Nunavut,2020-02-15,Nunavut,0
Nunavut,2020-02-16,Nunavut,0
Nunavut,2020-02-17,Nunavut,0
Nunavut,2020-02-18,Nunavut,0
Nunavut,2020-02-19,Nunavut,0
Nunavut,2020-02-20,Nunavut,0
Nunavut,2020-02-21,Nunavut,0
Nunavut,2020-02-22,Nunavut,0
Nunavut,2020-02-23,Nunavut,0
Nunavut,2020-02-24,Nunavut,0
Nunavut,2020-02-25,Nunavut,0
Nunavut,2020-02-26,Nunavut,0
Nunavut,2020-02-27,Nunavut,0
Nunavut,2020-02-28,Nunavut,0
Nunavut,2020-02-29,Nunavut,0
Nunavut,2020-03-01,Nunavut,0
Nunavut,2020-03-02,Nunavut,0
Nunavut,2020-03-03,Nunavut,0
Nunavut,2020-03-04,Nunavut,0
Nunavut,2020-03-05,Nunavut,0
Nunavut,2020-03-06,Nunavut,0
Nunavut,2020-03-07,Nunavut,0
Nunavut,2020-03-08,Nunavut,0
Nunavut,2020-03-09,Nunavut,0
Nunavut,2020-03-10,Nunavut,0
Nunavut,2020-03-11,Nunavut,0
Nunavut,2020-03-12,Nunavut,0
Nunavut,2020-03-13,Nunavut,0
Nunavut,2020-03-14,Nunavut,0
Nunavut,2020-03-15,Nunavut,0
Nunavut,2020-03-16,Nunavut,0
Nunavut,2020-03-17,Nunavut,0
Nunavut,2020-03-18,Nunavut,0
Nunavut,2020-03-19,Nunavut,0
Nunavut,2020-03-20,Nunavut,0
Nunavut,2020-03-21,Nunavut,0
Nunavut,2020-03-22,Nunavut,0
Nunavut,2020-03-23,Nunavut,0
Nunavut,2020-03-24,Nunavut,0
Nunavut,2020-03-25,Nunavut,0
Nunavut,2020-03-26,Nunavut,0
Nunavut,2020-03-27,Nunavut,0
Nunavut,2020-03-28,Nunavut,0
Nunavut,2020-03-29,Nunavut,0
Nunavut,2020-03-30,Nunavut,0
Nunavut,2020-03-31,Nunavut,0
Nunavut,2020-04-01,Nunavut,0
Nunavut,2020-04-02,Nunavut,0
Nunavut,2020-04-03,Nunavut,0
Nunavut,2020-04-04,Nunavut,0
Nunavut,2020-04-05,Nunavut,0
Nunavut,2020-04-06,Nunavut,0
Nunavut,2020-04-07,Nunavut,0
Nunavut,2020-04-08,Nunavut,0
Nunavut,2020-04-09,Nunavut,0
Nunavut,2020-04-10,Nunavut,0
Nunavut,2020-04-11,Nunavut,0
Nunavut,2020-04-12,Nunavut,0
Nunavut,2020-04-13,Nunavut,0
Nunavut,2020-04-14,Nunavut,0
Nunavut,2020-04-15,Nunavut,0
Nunavut,2020-04-16,Nunavut,0
Nunavut,2020-04-17,Nunavut,0
Nunavut,2020-04-18,Nunavut,0
Nunavut,2020-04-19,Nunavut,0
Nunavut,2020-04-20,Nunavut,0
Nunavut,2020-04-21,Nunavut,0
Nunavut,2020-04-22,Nunavut,0
Nunavut,2020-04-23,Nunavut,0
Nunavut,2020-04-24,Nunavut,0
Nunavut,2020-04-25,Nunavut,0
Nunavut,2020-04-26,Nunavut,0
Nunavut,2020-04-27,Nunavut,0
Nunavut,2020-04-28,Nunavut,0
Nunavut,2020-04-29,Nunavut,0
Nunavut,2020-04-30,Nunavut,0
Nunavut,2020-05-01,Nunavut,0
Nunavut,2020-05-02,Nunavut,0
Nunavut,2020-05-03,Nunavut,0
Nunavut,2020-05-04,Nunavut,0
Nunavut,2020-05-05,Nunavut,0
Nunavut,2020-05-06,Nunavut,0
Nunavut,2020-05-07,Nunavut,0
Nunavut,2020-05-08,Nunavut,0
Nunavut,2020-05-09,Nunavut,0
Nunavut,2020-05-10,Nunavut,0
Nunavut,2020-05-11,Nunavut,0
Nunavut,2020-05-12,Nunavut,0
Nunavut,2020-05-13,Nunavut,0
Nunavut,2020-05-14,Nunavut,0
Nunavut,2020-05-15,Nunavut,0
Nunavut,2020-05-16,Nunavut,0
Nunavut,2020-05-17,Nunavut,0
Nunavut,2020-05-18,Nunavut,0
Nunavut,2020-05-19,Nunavut,0
Nunavut,2020-05-20,Nunavut,0
Nunavut,2020-05-21,Nunavut,0
Nunavut,2020-05-22,Nunavut,0
Nunavut,2020-05-23,Nunavut,0
Nunavut,2020-05-24,Nunavut,0
Nunavut,2020-05-25,Nunavut,0
Nunavut,2020-05-26,Nunavut,0
Nunavut,2020-05-27,Nunavut,0
Nunavut,2020-05-28,Nunavut,0
Nunavut,2020-05-29,Nunavut,0
Nunavut,2020-05-30,Nunavut,0
Nunavut,2020-05-31,Nunavut,0
Nunavut,2020-06-01,Nunavut,0
Nunavut,2020-06-02,Nunavut,0
Nunavut,2020-06-03,Nunavut,0
Nunavut,2020-06-04,Nunavut,0
Nunavut,2020-06-05,Nunavut,0
Nunavut,2020-06-06,Nunavut,0
Nunavut,2020-06-07,Nunavut,0
Nunavut,2020-06-08,Nunavut,0
Nunavut,2020-06-09,Nunavut,0
Nunavut,2020-06-10,Nunavut,0
Nunavut,2020-06-11,Nunavut,0
Nunavut,2020-06-12,Nunavut,0
Nunavut,2020-06-13,Nunavut,0
Nunavut,2020-06-14,Nunavut,0
Nunavut,2020-06-15,Nunavut,0
Nunavut,2020-06-16,Nunavut,0
Nunavut,2020-06-17,Nunavut,0
Nunavut,2020-06-18,Nunavut,0
Nunavut,2020-06-19,Nunavut,0
Nunavut,2020-06-20,Nunavut,0
Nunavut,2020-06-21,Nunavut,0
Nunavut,2020-06-22,Nunavut,0
Nunavut,2020-06-23,Nunavut,0
Nunavut,2020-06-24,Nunavut,0
Nunavut,2020-06-25,Nunavut,0
Nunavut,2020-06-26,Nunavut,0
Nunavut,2020-06-27,Nunavut,0
Nunavut,2020-06-28,Nunavut,0
Nunavut,2020-06-29,Nunavut,0
Nunavut,2020-06-30,Nunavut,0
Nunavut,2020-07-01,Nunavut,0
Nunavut,2020-07-02,Nunavut,0
Nunavut,2020-07-03,Nunavut,0
Nunavut,2020-07-04,Nunavut,0
Nunavut,2020-07-05,Nunavut,0
Nunavut,2020-07-06,Nunavut,0
Nunavut,2020-07-07,Nunavut,0
Nunavut,2020-07-08,Nunavut,0
Nunavut,2020-07-09,Nunavut,0
Nunavut,2020-07-10,Nunavut,0
Nunavut,2020-07-11,Nunavut,0
Nunavut,2020-07-12,Nunavut,0
Nunavut,2020-07-13,Nunavut,0
Nunavut,2020-07-14,Nunavut,0
Nunavut,2020-07-15,Nunavut,0
Nunavut,2020-07-16,Nunavut,0
Nunavut,2020-07-17,Nunavut,0
Nunavut,2020-07-18,Nunavut,0
Nunavut,2020-07-19,Nunavut,0
Nunavut,2020-07-20,Nunavut,0
Nunavut,2020-07-21,Nunavut,0
Nunavut,2020-07-22,Nunavut,0
Nunavut,2020-07-23,Nunavut,0
Nunavut,2020-07-24,Nunavut,0
Nunavut,2020-07-25,Nunavut,0
Nunavut,2020-07-26,Nunavut,0
Nunavut,2020-07-27,Nunavut,0
Nunavut,2020-07-28,Nunavut,0
Nunavut,2020-07-29,Nunavut,0
Nunavut,2020-07-30,Nunavut,0
Nunavut,2020-07-31,Nunavut,0
Nunavut,2020-08-01,Nunavut,0
Nunavut,2020-08-02,Nunavut,0
Nunavut,2020-08-03,Nunavut,0
Nunavut,2020-08-04,Nunavut,0
Nunavut,2020-08-05,Nunavut,0
Nunavut,2020-08-06,Nunavut,0
Nunavut,2020-08-07,Nunavut,0
Nunavut,2020-08-08,Nunavut,0
Nunavut,2020-08-09,Nunavut,0
Nunavut,2020-08-10,Nunavut,0
Nunavut,2020-08-11,Nunavut,0
Nunavut,2020-08-12,Nunavut,0
Nunavut,2020-08-13,Nunavut,0
Nunavut,2020-08-14,Nunavut,0
Nunavut,2020-08-15,Nunavut,0
Nunavut,2020-08-16,Nunavut,0
Nunavut,2020-08-17,Nunavut,0
Nunavut,2020-08-18,Nunavut,0
Nunavut,2020-08-19,Nunavut,0
Nunavut,2020-08-20,Nunavut,0
Nunavut,2020-08-21,Nunavut,0
Nunavut,2020-08-22,Nunavut,0
Nunavut,2020-08-23,Nunavut,0
Nunavut,2020-08-24,Nunavut,0
Nunavut,2020-08-25,Nunavut,0
Nunavut,2020-08-26,Nunavut,0
Nunavut,2020-08-27,Nunavut,0
Nunavut,2020-08-28,Nunavut,0
Nunavut,2020-08-29,Nunavut,0
Nunavut,2020-08-30,Nunavut,0
Nunavut,2020-08-31,Nunavut,0
Nunavut,2020-09-01,Nunavut,0
Nunavut,2020-09-02,Nunavut,0
Nunavut,2020-09-03,Nunavut,0
Nunavut,2020-09-04,Nunavut,0
Nunavut,2020-09-05,Nunavut,0
Nunavut,2020-09-06,Nunavut,0
Nunavut,2020-09-07,Nunavut,0
Nunavut,2020-09-08,Nunavut,0
Nunavut,2020-09-09,Nunavut,0
Nunavut,2020-09-10,Nunavut,0
Nunavut,2020-09-11,Nunavut,0
Nunavut,2020-09-12,Nunavut,0
Nunavut,2020-09-13,Nunavut,0
Nunavut,2020-09-14,Nunavut,0
Nunavut,2020-09-15,Nunavut,0
Nunavut,2020-09-16,Nunavut,0
Nunavut,2020-09-17,Nunavut,0
Nunavut,2020-09-18,Nunavut,0
Nunavut,2020-09-19,Nunavut,0
Nunavut,2020-09-20,Nunavut,0
Nunavut,2020-09-21,Nunavut,0
Nunavut,2020-09-22,Nunavut,0
Nunavut,2020-09-23,Nunavut,0
Nunavut,2020-09-24,Nunavut,0
Nunavut,2020-09-25,Nunavut,0
Nunavut,2020-09-26,Nunavut,0
Nunavut,2020-09-27,Nunavut,0
Nunavut,2020-09-28,Nunavut,0
Nunavut,2020-09-29,Nunavut,0
Nunavut,2020-09-30,Nunavut,0
Nunavut,2020-10-01,Nunavut,0
Nunavut,2020-10-02,Nunavut,0
Nunavut,2020-10-03,Nunavut,0
Nunavut,2020-10-04,Nunavut,0
Nunavut,2020-10-05,Nunavut,0
Nunavut,2020-10-06,Nunavut,0
Nunavut,2020-10-07,Nunavut,0
Nunavut,2020-10-08,Nunavut,0
Nunavut,2020-10-09,Nunavut,0
Nunavut,2020-10-10,Nunavut,0
Nunavut,2020-10-11,Nunavut,0
Nunavut,2020-10-12,Nunavut,0
Nunavut,2020-10-13,Nunavut,0
Nunavut,2020-10-14,Nunavut,0
Nunavut,2020-10-15,Nunavut,0
Nunavut,2020-10-16,Nunavut,0
Nunavut,2020-10-17,Nunavut,0
Nunavut,2020-10-18,Nunavut,0
Nunavut,2020-10-19,Nunavut,0
Nunavut,2020-10-20,Nunavut,0
Nunavut,2020-10-21,Nunavut,0
Nunavut,2020-10-22,Nunavut,0
Nunavut,2020-10-23,Nunavut,0
Nunavut,2020-10-24,Nunavut,0
Nunavut,2020-10-25,Nunavut,0
Nunavut,2020-10-26,Nunavut,0
Nunavut,2020-10-27,Nunavut,0
Nunavut,2020-10-28,Nunavut,0
Nunavut,2020-10-29,Nunavut,0
Nunavut,2020-10-30,Nunavut,0
Nunavut,2020-10-31,Nunavut,0
Nunavut,2020-11-01,Nunavut,0
Nunavut,2020-11-02,Nunavut,0
Nunavut,2020-11-03,Nunavut,0
Nunavut,2020-11-04,Nunavut,0
Nunavut,2020-11-05,Nunavut,0
Nunavut,2020-11-06,Nunavut,1
Nunavut,2020-11-07,Nunavut,0
Nunavut,2020-11-08,Nunavut,1
Nunavut,2020-11-09,Nunavut,0
Nunavut,2020-11-10,Nunavut,0
Nunavut,2020-11-11,Nunavut,1
Nunavut,2020-11-12,Nunavut,0
Nunavut,2020-11-13,Nunavut,1
Nunavut,2020-11-14,Nunavut,4
Nunavut,2020-11-15,Nunavut,10
Nunavut,2020-11-16,Nunavut,8
Nunavut,2020-11-17,Nunavut,34
Nunavut,2020-11-18,Nunavut,10
Nunavut,2020-11-19,Nunavut,4
Nunavut,2020-11-20,Nunavut,10
Nunavut,2020-11-21,Nunavut,25
Nunavut,2020-11-22,Nunavut,21
Nunavut,2020-11-23,Nunavut,4
Nunavut,2020-11-24,Nunavut,10
Nunavut,2020-11-25,Nunavut,11
Nunavut,2020-11-26,Nunavut,0
Nunavut,2020-11-27,Nunavut,4
Nunavut,2020-11-28,Nunavut,5
Nunavut,2020-11-29,Nunavut,13
Nunavut,2020-11-30,Nunavut,4
Nunavut,2020-12-01,Nunavut,1
Nunavut,2020-12-02,Nunavut,11
Nunavut,2020-12-03,Nunavut,5
Nunavut,2020-12-04,Nunavut,8
Nunavut,2020-12-05,Nunavut,8
Nunavut,2020-12-06,Nunavut,2
Nunavut,2020-12-07,Nunavut,3
Nunavut,2020-12-08,Nunavut,1
Nunavut,2020-12-09,Nunavut,9
Nunavut,2020-12-10,Nunavut,0
Nunavut,2020-12-11,Nunavut,16
Nunavut,2020-12-12,Nunavut,2
Nunavut,2020-12-13,Nunavut,0
Nunavut,2020-12-14,Nunavut,9
Nunavut,2020-12-15,Nunavut,2
Nunavut,2020-12-16,Nunavut,0
Nunavut,2020-12-17,Nunavut,1
Nunavut,2020-12-18,Nunavut,0
Nunavut,2020-12-19,Nunavut,0
Nunavut,2020-12-20,Nunavut,0
Nunavut,2020-12-21,Nunavut,3
Nunavut,2020-12-22,Nunavut,0
Nunavut,2020-12-23,Nunavut,2
Nunavut,2020-12-24,Nunavut,1
Nunavut,2020-12-25,Nunavut,0
Nunavut,2020-12-26,Nunavut,0
Nunavut,2020-12-27,Nunavut,0
Nunavut,2020-12-28,Nunavut,1
Nunavut,2020-12-29,Nunavut,0
Nunavut,2020-12-30,Nunavut,0
Nunavut,2020-12-31,Nunavut,0
Nunavut,2021-01-01,Nunavut,0
Nunavut,2021-01-02,Nunavut,0
Nunavut,2021-01-03,Nunavut,0
Nunavut,2021-01-04,Nunavut,0
Nunavut,2021-01-05,Nunavut,0
Nunavut,2021-01-06,Nunavut,0
Nunavut,2021-01-07,Nunavut,0
Nunavut,2021-01-08,Nunavut,0
Nunavut,2021-01-09,Nunavut,0
Nunavut,2021-01-10,Nunavut,0
Nunavut,2021-01-11,Nunavut,0
Nunavut,2021-01-12,Nunavut,0
Nunavut,2021-01-13,Nunavut,0
Nunavut,2021-01-14,Nunavut,0
Nunavut,2021-01-15,Nunavut,0
Nunavut,2021-01-16,Nunavut,0
Nunavut,2021-01-17,Nunavut,0
Nunavut,2021-01-18,Nunavut,0
Nunavut,2021-01-19,Nunavut,0
Nunavut,2021-01-20,Nunavut,0
Nunavut,2021-01-21,Nunavut,0
Nunavut,2021-01-22,Nunavut,0
Nunavut,2021-01-23,Nunavut,1
Nunavut,2021-01-24,Nunavut,13
Nunavut,2021-01-25,Nunavut,2
Nunavut,2021-01-26,Nunavut,0
Nunavut,2021-01-27,Nunavut,0
Nunavut,2021-01-28,Nunavut,1
Nunavut,2021-01-29,Nunavut,0
Nunavut,2021-01-30,Nunavut,1
Nunavut,2021-01-31,Nunavut,10
Nunavut,2021-02-01,Nunavut,0
Nunavut,2021-02-02,Nunavut,0
Nunavut,2021-02-03,Nunavut,0
Nunavut,2021-02-04,Nunavut,2
Nunavut,2021-02-05,Nunavut,0
Nunavut,2021-02-06,Nunavut,3
Nunavut,2021-02-07,Nunavut,0
Nunavut,2021-02-08,Nunavut,0
Nunavut,2021-02-09,Nunavut,0
Nunavut,2021-02-10,Nunavut,1
Nunavut,2021-02-11,Nunavut,3
Nunavut,2021-02-12,Nunavut,0
Nunavut,2021-02-13,Nunavut,5
Nunavut,2021-02-14,Nunavut,3
Nunavut,2021-02-15,Nunavut,7
Nunavut,2021-02-16,Nunavut,5
Nunavut,2021-02-17,Nunavut,1
Nunavut,2021-02-18,Nunavut,6
Nunavut,2021-02-19,Nunavut,2
Nunavut,2021-02-20,Nunavut,6
Nunavut,2021-02-21,Nunavut,1
Nunavut,2021-02-22,Nunavut,12
Nunavut,2021-02-23,Nunavut,0
Nunavut,2021-02-24,Nunavut,0
Nunavut,2021-02-25,Nunavut,4
Nunavut,2021-02-26,Nunavut,1
Nunavut,2021-02-27,Nunavut,0
Nunavut,2021-02-28,Nunavut,1
Nunavut,2021-03-01,Nunavut,1
Nunavut,2021-03-02,Nunavut,1
Nunavut,2021-03-03,Nunavut,0
Nunavut,2021-03-04,Nunavut,10
Nunavut,2021-03-05,Nunavut,4
Nunavut,2021-03-06,Nunavut,4
Nunavut,2021-03-07,Nunavut,4
Nunavut,2021-03-08,Nunavut,0
Nunavut,2021-03-09,Nunavut,0
Nunavut,2021-03-10,Nunavut,0
Nunavut,2021-03-11,Nunavut,0
Nunavut,2021-03-12,Nunavut,0
Nunavut,2021-03-13,Nunavut,2
Nunavut,2021-03-14,Nunavut,0
Nunavut,2021-03-15,Nunavut,0
Nunavut,2021-03-16,Nunavut,0
Nunavut,2021-03-17,Nunavut,12
Nunavut,2021-03-18,Nunavut,0
Nunavut,2021-03-19,Nunavut,0
Nunavut,2021-03-20,Nunavut,0
Nunavut,2021-03-21,Nunavut,0
Nunavut,2021-03-22,Nunavut,0
Nunavut,2021-03-23,Nunavut,0
Nunavut,2021-03-24,Nunavut,0
Nunavut,2021-03-25,Nunavut,0
Nunavut,2021-03-26,Nunavut,0
Nunavut,2021-03-27,Nunavut,0
Nunavut,2021-03-28,Nunavut,0
Nunavut,2021-03-29,Nunavut,0
Nunavut,2021-03-30,Nunavut,0
Nunavut,2021-03-31,Nunavut,0
Nunavut,2021-04-01,Nunavut,0
Nunavut,2021-04-02,Nunavut,0
Nunavut,2021-04-03,Nunavut,0
Nunavut,2021-04-04,Nunavut,0
Nunavut,2021-04-05,Nunavut,0
Nunavut,2021-04-06,Nunavut,0
Nunavut,2021-04-07,Nunavut,0
Nunavut,2021-04-08,Nunavut,0
Nunavut,2021-04-09,Nunavut,0
Nunavut,2021-04-10,Nunavut,0
Nunavut,2021-04-11,Nunavut,0
Nunavut,2021-04-12,Nunavut,0
Nunavut,2021-04-13,Nunavut,0
Nunavut,2021-04-14,Nunavut,0
Nunavut,2021-04-15,Nunavut,1
Nunavut,2021-04-16,Nunavut,12
Nunavut,2021-04-17,Nunavut,6
Nunavut,2021-04-18,Nunavut,3
Nunavut,2021-04-19,Nunavut,6
Nunavut,2021-04-20,Nunavut,5
Nunavut,2021-04-21,Nunavut,1
Nunavut,2021-04-22,Nunavut,3
Nunavut,2021-04-23,Nunavut,9
Nunavut,2021-04-24,Nunavut,7
Nunavut,2021-04-25,Nunavut,7
Nunavut,2021-04-26,Nunavut,9
Nunavut,2021-04-27,Nunavut,8
Nunavut,2021-04-28,Nunavut,6
Nunavut,2021-04-29,Nunavut,12
Nunavut,2021-04-30,Nunavut,11
Nunavut,2021-05-01,Nunavut,8
Nunavut,2021-05-02,Nunavut,11
Nunavut,2021-05-03,Nunavut,8
Nunavut,2021-05-04,Nunavut,7
Nunavut,2021-05-05,Nunavut,5
Nunavut,2021-05-06,Nunavut,12
Nunavut,2021-05-07,Nunavut,1
Nunavut,2021-05-08,Nunavut,7
Nunavut,2021-05-09,Nunavut,5
Nunavut,2021-05-10,Nunavut,7
Nunavut,2021-05-11,Nunavut,14
Nunavut,2021-05-12,Nunavut,8
Nunavut,2021-05-13,Nunavut,12
Nunavut,2021-05-14,Nunavut,12
Nunavut,2021-05-15,Nunavut,5
Nunavut,2021-05-16,Nunavut,0
Nunavut,2021-05-17,Nunavut,1
Nunavut,2021-05-18,Nunavut,6
Nunavut,2021-05-19,Nunavut,4
Nunavut,2021-05-20,Nunavut,2
Nunavut,2021-05-21,Nunavut,1
Nunavut,2021-05-22,Nunavut,1
Nunavut,2021-05-23,Nunavut,0
Nunavut,2021-05-24,Nunavut,1
Nunavut,2021-05-25,Nunavut,1
Nunavut,2021-05-26,Nunavut,7
Nunavut,2021-05-27,Nunavut,0
Nunavut,2021-05-28,Nunavut,1
Nunavut,2021-05-29,Nunavut,0
Nunavut,2021-05-30,Nunavut,0
Nunavut,2021-05-31,Nunavut,0
Nunavut,2021-06-01,Nunavut,0
Nunavut,2021-06-02,Nunavut,0
Nunavut,2021-06-03,Nunavut,0
Nunavut,2021-06-04,Nunavut,1
Nunavut,2021-06-05,Nunavut,0
Nunavut,2021-06-06,Nunavut,0
Nunavut,2021-06-07,Nunavut,0
Northwest Territories,2020-01-25,Northwest Territories,0
Northwest Territories,2020-01-26,Northwest Territories,0
Northwest Territories,2020-01-27,Northwest Territories,0
Northwest Territories,2020-01-28,Northwest Territories,0
Northwest Territories,2020-01-29,Northwest Territories,0
Northwest Territories,2020-01-30,Northwest Territories,0
Northwest Territories,2020-01-31,Northwest Territories,0
Northwest Territories,2020-02-01,Northwest Territories,0
Northwest Territories,2020-02-02,Northwest Territories,0
Northwest Territories,2020-02-03,Northwest Territories,0
Northwest Territories,2020-02-04,Northwest Territories,0
Northwest Territories,2020-02-05,Northwest Territories,0
Northwest Territories,2020-02-06,Northwest Territories,0
Northwest Territories,2020-02-07,Northwest Territories,0
Northwest Territories,2020-02-08,Northwest Territories,0
Northwest Territories,2020-02-09,Northwest Territories,0
Northwest Territories,2020-02-10,Northwest Territories,0
Northwest Territories,2020-02-11,Northwest Territories,0
Northwest Territories,2020-02-12,Northwest Territories,0
Northwest Territories,2020-02-13,Northwest Territories,0
Northwest Territories,2020-02-14,Northwest Territories,0
Northwest Territories,2020-02-15,Northwest Territories,0
Northwest Territories,2020-02-16,Northwest Territories,0
Northwest Territories,2020-02-17,Northwest Territories,0
Northwest Territories,2020-02-18,Northwest Territories,0
Northwest Territories,2020-02-19,Northwest Territories,0
Northwest Territories,2020-02-20,Northwest Territories,0
Northwest Territories,2020-02-21,Northwest Territories,0
Northwest Territories,2020-02-22,Northwest Territories,0
Northwest Territories,2020-02-23,Northwest Territories,0
Northwest Territories,2020-02-24,Northwest Territories,0
Northwest Territories,2020-02-25,Northwest Territories,0
Northwest Territories,2020-02-26,Northwest Territories,0
Northwest Territories,2020-02-27,Northwest Territories,0
Northwest Territories,2020-02-28,Northwest Territories,0
Northwest Territories,2020-02-29,Northwest Territories,0
Northwest Territories,2020-03-01,Northwest Territories,0
Northwest Territories,2020-03-02,Northwest Territories,0
Northwest Territories,2020-03-03,Northwest Territories,0
Northwest Territories,2020-03-04,Northwest Territories,0
Northwest Territories,2020-03-05,Northwest Territories,0
Northwest Territories,2020-03-06,Northwest Territories,0
Northwest Territories,2020-03-07,Northwest Territories,0
Northwest Territories,2020-03-08,Northwest Territories,0
Northwest Territories,2020-03-09,Northwest Territories,0
Northwest Territories,2020-03-10,Northwest Territories,0
Northwest Territories,2020-03-11,Northwest Territories,0
Northwest Territories,2020-03-12,Northwest Territories,0
Northwest Territories,2020-03-13,Northwest Territories,0
Northwest Territories,2020-03-14,Northwest Territories,0
Northwest Territories,2020-03-15,Northwest Territories,0
Northwest Territories,2020-03-16,Northwest Territories,0
Northwest Territories,2020-03-17,Northwest Territories,0
Northwest Territories,2020-03-18,Northwest Territories,0
Northwest Territories,2020-03-19,Northwest Territories,0
Northwest Territories,2020-03-20,Northwest Territories,0
Northwest Territories,2020-03-21,Northwest Territories,1
Northwest Territories,2020-03-22,Northwest Territories,0
Northwest Territories,2020-03-23,Northwest Territories,0
Northwest Territories,2020-03-24,Northwest Territories,0
Northwest Territories,2020-03-25,Northwest Territories,0
Northwest Territories,2020-03-26,Northwest Territories,0
Northwest Territories,2020-03-27,Northwest Territories,0
Northwest Territories,2020-03-28,Northwest Territories,0
Northwest Territories,2020-03-29,Northwest Territories,0
Northwest Territories,2020-03-30,Northwest Territories,0
Northwest Territories,2020-03-31,Northwest Territories,0
Northwest Territories,2020-04-01,Northwest Territories,1
Northwest Territories,2020-04-02,Northwest Territories,0
Northwest Territories,2020-04-03,Northwest Territories,2
Northwest Territories,2020-04-04,Northwest Territories,0
Northwest Territories,2020-04-05,Northwest Territories,0
Northwest Territories,2020-04-06,Northwest Territories,1
Northwest Territories,2020-04-07,Northwest Territories,0
Northwest Territories,2020-04-08,Northwest Territories,0
Northwest Territories,2020-04-09,Northwest Territories,0
Northwest Territories,2020-04-10,Northwest Territories,0
Northwest Territories,2020-04-11,Northwest Territories,0
Northwest Territories,2020-04-12,Northwest Territories,0
Northwest Territories,2020-04-13,Northwest Territories,0
Northwest Territories,2020-04-14,Northwest Territories,0
Northwest Territories,2020-04-15,Northwest Territories,0
Northwest Territories,2020-04-16,Northwest Territories,0
Northwest Territories,2020-04-17,Northwest Territories,0
Northwest Territories,2020-04-18,Northwest Territories,0
Northwest Territories,2020-04-19,Northwest Territories,0
Northwest Territories,2020-04-20,Northwest Territories,0
Northwest Territories,2020-04-21,Northwest Territories,0
Northwest Territories,2020-04-22,Northwest Territories,0
Northwest Territories,2020-04-23,Northwest Territories,0
Northwest Territories,2020-04-24,Northwest Territories,0
Northwest Territories,2020-04-25,Northwest Territories,0
Northwest Territories,2020-04-26,Northwest Territories,0
Northwest Territories,2020-04-27,Northwest Territories,0
Northwest Territories,2020-04-28,Northwest Territories,0
Northwest Territories,2020-04-29,Northwest Territories,0
Northwest Territories,2020-04-30,Northwest Territories,0
Northwest Territories,2020-05-01,Northwest Territories,0
Northwest Territories,2020-05-02,Northwest Territories,0
Northwest Territories,2020-05-03,Northwest Territories,0
Northwest Territories,2020-05-04,Northwest Territories,0
Northwest Territories,2020-05-05,Northwest Territories,0
Northwest Territories,2020-05-06,Northwest Territories,0
Northwest Territories,2020-05-07,Northwest Territories,0
Northwest Territories,2020-05-08,Northwest Territories,0
Northwest Territories,2020-05-09,Northwest Territories,0
Northwest Territories,2020-05-10,Northwest Territories,0
Northwest Territories,2020-05-11,Northwest Territories,0
Northwest Territories,2020-05-12,Northwest Territories,0
