cases,cumulative_cases,date_report,province
1,1,2020-01-25,Canada
0,1,2020-01-26,Canada
1,2,2020-01-27,Canada
1,3,2020-01-28,Canada
0,3,2020-01-29,Canada
0,3,2020-01-30,Canada
1,4,2020-01-31,Canada
0,4,2020-02-01,Canada
0,4,2020-02-02,Canada
0,4,2020-02-03,Canada
1,5,2020-02-04,Canada
0,5,2020-02-05,Canada
2,7,2020-02-06,Canada
0,7,2020-02-07,Canada
0,7,2020-02-08,Canada
0,7,2020-02-09,Canada
0,7,2020-02-10,Canada
0,7,2020-02-11,Canada
0,7,2020-02-12,Canada
0,7,2020-02-13,Canada
1,8,2020-02-14,Canada
0,8,2020-02-15,Canada
0,8,2020-02-16,Canada
0,8,2020-02-17,Canada
0,8,2020-02-18,Canada
0,8,2020-02-19,Canada
1,9,2020-02-20,Canada
0,9,2020-02-21,Canada
0,9,2020-02-22,Canada
1,10,2020-02-23,Canada
1,11,2020-02-24,Canada
0,11,2020-02-25,Canada
1,12,2020-02-26,Canada
2,14,2020-02-27,Canada
2,16,2020-02-28,Canada
4,20,2020-02-29,Canada
4,24,2020-03-01,Canada
0,24,2020-03-02,Canada
9,33,2020-03-03,Canada
1,34,2020-03-04,Canada
12,46,2020-03-05,Canada
8,54,2020-03-06,Canada
6,60,2020-03-07,Canada
7,67,2020-03-08,Canada
19,86,2020-03-09,Canada
9,95,2020-03-10,Canada
21,116,2020-03-11,Canada
40,156,2020-03-12,Canada
42,198,2020-03-13,Canada
59,257,2020-03-14,Canada
84,341,2020-03-15,Canada
100,441,2020-03-16,Canada
156,597,2020-03-17,Canada
130,727,2020-03-18,Canada
146,873,2020-03-19,Canada
214,1087,2020-03-20,Canada
244,1331,2020-03-21,Canada
140,1471,2020-03-22,Canada
620,2091,2020-03-23,Canada
728,2819,2020-03-24,Canada
589,3408,2020-03-25,Canada
634,4042,2020-03-26,Canada
714,4756,2020-03-27,Canada
898,5654,2020-03-28,Canada
665,6319,2020-03-29,Canada
1127,7446,2020-03-30,Canada
1143,8589,2020-03-31,Canada
1599,10188,2020-04-01,Canada
1587,11775,2020-04-02,Canada
1200,12975,2020-04-03,Canada
1429,14404,2020-04-04,Canada
1508,15912,2020-04-05,Canada
1246,17158,2020-04-06,Canada
1400,18558,2020-04-07,Canada
1292,19850,2020-04-08,Canada
1549,21399,2020-04-09,Canada
1313,22712,2020-04-10,Canada
1246,23958,2020-04-11,Canada
1093,25051,2020-04-12,Canada
1374,26425,2020-04-13,Canada
1460,27885,2020-04-14,Canada
1346,29231,2020-04-15,Canada
1732,30963,2020-04-16,Canada
1879,32842,2020-04-17,Canada
1534,34376,2020-04-18,Canada
1634,36010,2020-04-19,Canada
1841,37851,2020-04-20,Canada
1532,39383,2020-04-21,Canada
1964,41347,2020-04-22,Canada
1866,43213,2020-04-23,Canada
1627,44840,2020-04-24,Canada
1418,46258,2020-04-25,Canada
1584,47842,2020-04-26,Canada
1607,49449,2020-04-27,Canada
1483,50932,2020-04-28,Canada
1702,52634,2020-04-29,Canada
1575,54209,2020-04-30,Canada
1955,56164,2020-05-01,Canada
1577,57741,2020-05-02,Canada
2560,60301,2020-05-03,Canada
1485,61786,2020-05-04,Canada
1268,63054,2020-05-05,Canada
1487,64541,2020-05-06,Canada
1510,66051,2020-05-07,Canada
1468,67519,2020-05-08,Canada
1242,68761,2020-05-09,Canada
1166,69927,2020-05-10,Canada
1188,71115,2020-05-11,Canada
1158,72273,2020-05-12,Canada
1146,73419,2020-05-13,Canada
1216,74635,2020-05-14,Canada
1176,75811,2020-05-15,Canada
1231,77042,2020-05-16,Canada
1129,78171,2020-05-17,Canada
1086,79257,2020-05-18,Canada
1117,80374,2020-05-19,Canada
1078,81452,2020-05-20,Canada
1174,82626,2020-05-21,Canada
1210,83836,2020-05-22,Canada
1200,85036,2020-05-23,Canada
956,85992,2020-05-24,Canada
1027,87019,2020-05-25,Canada
975,87994,2020-05-26,Canada
895,88889,2020-05-27,Canada
994,89883,2020-05-28,Canada
932,90815,2020-05-29,Canada
776,91591,2020-05-30,Canada
805,92396,2020-05-31,Canada
817,93213,2020-06-01,Canada
672,93885,2020-06-02,Canada
689,94574,2020-06-03,Canada
624,95198,2020-06-04,Canada
682,95880,2020-06-05,Canada
520,96400,2020-06-06,Canada
700,97100,2020-06-07,Canada
615,97715,2020-06-08,Canada
459,98174,2020-06-09,Canada
481,98655,2020-06-10,Canada
439,99094,2020-06-11,Canada
443,99537,2020-06-12,Canada
448,99985,2020-06-13,Canada
355,100340,2020-06-14,Canada
375,100715,2020-06-15,Canada
333,101048,2020-06-16,Canada
392,101440,2020-06-17,Canada
377,101817,2020-06-18,Canada
442,102259,2020-06-19,Canada
367,102626,2020-06-20,Canada
298,102924,2020-06-21,Canada
358,103282,2020-06-22,Canada
357,103639,2020-06-23,Canada
318,103957,2020-06-24,Canada
369,104326,2020-06-25,Canada
176,104502,2020-06-26,Canada
244,104746,2020-06-27,Canada
292,105038,2020-06-28,Canada
646,105684,2020-06-29,Canada
279,105963,2020-06-30,Canada
191,106154,2020-07-01,Canada
357,106511,2020-07-02,Canada
325,106836,2020-07-03,Canada
222,107058,2020-07-04,Canada
206,107264,2020-07-05,Canada
426,107690,2020-07-06,Canada
205,107895,2020-07-07,Canada
313,108208,2020-07-08,Canada
322,108530,2020-07-09,Canada
322,108852,2020-07-10,Canada
175,109027,2020-07-11,Canada
201,109228,2020-07-12,Canada
680,109908,2020-07-13,Canada
303,110211,2020-07-14,Canada
343,110554,2020-07-15,Canada
446,111000,2020-07-16,Canada
433,111433,2020-07-17,Canada
367,111800,2020-07-18,Canada
319,112119,2020-07-19,Canada
800,112919,2020-07-20,Canada
560,113479,2020-07-21,Canada
522,114001,2020-07-22,Canada
460,114461,2020-07-23,Canada
555,115016,2020-07-24,Canada
339,115355,2020-07-25,Canada
316,115671,2020-07-26,Canada
722,116393,2020-07-27,Canada
406,116799,2020-07-28,Canada
498,117297,2020-07-29,Canada
342,117639,2020-07-30,Canada
497,118136,2020-07-31,Canada
274,118410,2020-08-01,Canada
239,118649,2020-08-02,Canada
218,118867,2020-08-03,Canada
704,119571,2020-08-04,Canada
387,119958,2020-08-05,Canada
366,120324,2020-08-06,Canada
423,120747,2020-08-07,Canada
251,120998,2020-08-08,Canada
212,121210,2020-08-09,Canada
693,121903,2020-08-10,Canada
350,122253,2020-08-11,Canada
403,122656,2020-08-12,Canada
394,123050,2020-08-13,Canada
403,123453,2020-08-14,Canada
230,123683,2020-08-15,Canada
171,123854,2020-08-16,Canada
734,124588,2020-08-17,Canada
357,124945,2020-08-18,Canada
321,125266,2020-08-19,Canada
404,125670,2020-08-20,Canada
510,126180,2020-08-21,Canada
226,126406,2020-08-22,Canada
246,126652,2020-08-23,Canada
803,127455,2020-08-24,Canada
309,127764,2020-08-25,Canada
485,128249,2020-08-26,Canada
451,128700,2020-08-27,Canada
506,129206,2020-08-28,Canada
281,129487,2020-08-29,Canada
243,129730,2020-08-30,Canada
1051,130781,2020-08-31,Canada
500,131281,2020-09-01,Canada
505,131786,2020-09-02,Canada
587,132373,2020-09-03,Canada
610,132983,2020-09-04,Canada
359,133342,2020-09-05,Canada
366,133708,2020-09-06,Canada
431,134139,2020-09-07,Canada
1471,135610,2020-09-08,Canada
582,136192,2020-09-09,Canada
624,136816,2020-09-10,Canada
725,137541,2020-09-11,Canada
466,138007,2020-09-12,Canada
535,138542,2020-09-13,Canada
1418,139960,2020-09-14,Canada
797,140757,2020-09-15,Canada
954,141711,2020-09-16,Canada
1167,142878,2020-09-17,Canada
1042,143920,2020-09-18,Canada
835,144755,2020-09-19,Canada
801,145556,2020-09-20,Canada
1855,147411,2020-09-21,Canada
1288,148699,2020-09-22,Canada
1099,149798,2020-09-23,Canada
1325,151123,2020-09-24,Canada
1448,152571,2020-09-25,Canada
1247,153818,2020-09-26,Canada
1412,155230,2020-09-27,Canada
2243,157473,2020-09-28,Canada
1668,159141,2020-09-29,Canada
1817,160958,2020-09-30,Canada
1821,162779,2020-10-01,Canada
2121,164900,2020-10-02,Canada
1802,166702,2020-10-03,Canada
1609,168311,2020-10-04,Canada
2907,171218,2020-10-05,Canada
2379,173597,2020-10-06,Canada
1859,175456,2020-10-07,Canada
2474,177930,2020-10-08,Canada
2531,180461,2020-10-09,Canada
2118,182579,2020-10-10,Canada
1600,184179,2020-10-11,Canada
1732,185911,2020-10-12,Canada
3420,189331,2020-10-13,Canada
2549,191880,2020-10-14,Canada
2271,194151,2020-10-15,Canada
2566,196717,2020-10-16,Canada
2027,198744,2020-10-17,Canada
1791,200535,2020-10-18,Canada
3267,203802,2020-10-19,Canada
2325,206127,2020-10-20,Canada
2697,208824,2020-10-21,Canada
2841,211665,2020-10-22,Canada
2648,214313,2020-10-23,Canada
2212,216525,2020-10-24,Canada
2055,218580,2020-10-25,Canada
4166,222746,2020-10-26,Canada
2718,225464,2020-10-27,Canada
2663,228127,2020-10-28,Canada
3014,231141,2020-10-29,Canada
3548,234689,2020-10-30,Canada
2359,237048,2020-10-31,Canada
2286,239334,2020-11-01,Canada
3588,242922,2020-11-02,Canada
4741,247663,2020-11-03,Canada
3309,250972,2020-11-04,Canada
3123,254095,2020-11-05,Canada
4533,258628,2020-11-06,Canada
3409,262037,2020-11-07,Canada
3154,265191,2020-11-08,Canada
6546,271737,2020-11-09,Canada
4486,276223,2020-11-10,Canada
3281,279504,2020-11-11,Canada
6185,285689,2020-11-12,Canada
4770,290459,2020-11-13,Canada
3362,293821,2020-11-14,Canada
3248,297069,2020-11-15,Canada
8129,305198,2020-11-16,Canada
4470,309668,2020-11-17,Canada
4516,314184,2020-11-18,Canada
4790,318974,2020-11-19,Canada
5008,323982,2020-11-20,Canada
4913,328895,2020-11-21,Canada
4671,333566,2020-11-22,Canada
6883,340449,2020-11-23,Canada
5284,345733,2020-11-24,Canada
5124,350857,2020-11-25,Canada
5728,356585,2020-11-26,Canada
5955,362540,2020-11-27,Canada
5621,368161,2020-11-28,Canada
5362,373523,2020-11-29,Canada
7916,381439,2020-11-30,Canada
5656,387095,2020-12-01,Canada
6409,393504,2020-12-02,Canada
6205,399709,2020-12-03,Canada
6462,406171,2020-12-04,Canada
6235,412406,2020-12-05,Canada
6275,418681,2020-12-06,Canada
7924,426605,2020-12-07,Canada
6196,432801,2020-12-08,Canada
6356,439157,2020-12-09,Canada
6708,445865,2020-12-10,Canada
6680,452545,2020-12-11,Canada
5903,458448,2020-12-12,Canada
5814,464262,2020-12-13,Canada
8551,472813,2020-12-14,Canada
6184,478997,2020-12-15,Canada
6537,485534,2020-12-16,Canada
7038,492572,2020-12-17,Canada
6701,499273,2020-12-18,Canada
6366,505639,2020-12-19,Canada
5812,511451,2020-12-20,Canada
7843,519294,2020-12-21,Canada
6264,525558,2020-12-22,Canada
6952,532510,2020-12-23,Canada
5695,538205,2020-12-24,Canada
409,538614,2020-12-25,Canada
1732,540346,2020-12-26,Canada
9804,550150,2020-12-27,Canada
10706,560856,2020-12-28,Canada
8878,569734,2020-12-29,Canada
7599,577333,2020-12-30,Canada
7107,584440,2020-12-31,Canada
735,585175,2021-01-01,Canada
4627,589802,2021-01-02,Canada
12075,601877,2021-01-03,Canada
14319,616196,2021-01-04,Canada
7351,623547,2021-01-05,Canada
7930,631477,2021-01-06,Canada
8166,639643,2021-01-07,Canada
9203,648846,2021-01-08,Canada
8409,657255,2021-01-09,Canada
6910,664165,2021-01-10,Canada
8837,673002,2021-01-11,Canada
6083,679085,2021-01-12,Canada
7182,686267,2021-01-13,Canada
7482,693749,2021-01-14,Canada
6899,700648,2021-01-15,Canada
6278,706926,2021-01-16,Canada
5875,712801,2021-01-17,Canada
6621,719422,2021-01-18,Canada
5203,724625,2021-01-19,Canada
5540,730165,2021-01-20,Canada
6233,736398,2021-01-21,Canada
5769,742167,2021-01-22,Canada
4957,747124,2021-01-23,Canada
4383,751507,2021-01-24,Canada
5901,757408,2021-01-25,Canada
4085,761493,2021-01-26,Canada
4298,765791,2021-01-27,Canada
4817,770608,2021-01-28,Canada
4834,775442,2021-01-29,Canada
3891,779333,2021-01-30,Canada
3863,783196,2021-01-31,Canada
4625,787821,2021-02-01,Canada
2948,790769,2021-02-02,Canada
3276,794045,2021-02-03,Canada
4103,798148,2021-02-04,Canada
3996,802144,2021-02-05,Canada
3265,805409,2021-02-06,Canada
3074,808483,2021-02-07,Canada
3895,812378,2021-02-08,Canada
2638,815016,2021-02-09,Canada
3253,818269,2021-02-10,Canada
3193,821462,2021-02-11,Canada
3444,824906,2021-02-12,Canada
3012,827918,2021-02-13,Canada
2021,829939,2021-02-14,Canada
1962,831901,2021-02-15,Canada
4157,836058,2021-02-16,Canada
2738,838796,2021-02-17,Canada
3397,842193,2021-02-18,Canada
3138,845331,2021-02-19,Canada
2579,847910,2021-02-20,Canada
2311,850221,2021-02-21,Canada
3991,854212,2021-02-22,Canada
2812,857024,2021-02-23,Canada
2933,859957,2021-02-24,Canada
3140,863097,2021-02-25,Canada
3214,866311,2021-02-26,Canada
2557,868868,2021-02-27,Canada
2221,871089,2021-02-28,Canada
3793,874882,2021-03-01,Canada
2703,877585,2021-03-02,Canada
2776,880361,2021-03-03,Canada
3042,883403,2021-03-04,Canada
3239,886642,2021-03-05,Canada
2400,889042,2021-03-06,Canada
2211,891253,2021-03-07,Canada
4470,895723,2021-03-08,Canada
2936,898659,2021-03-09,Canada
3086,901745,2021-03-10,Canada
3271,905016,2021-03-11,Canada
3566,908582,2021-03-12,Canada
3013,911595,2021-03-13,Canada
2631,914226,2021-03-14,Canada
4014,918240,2021-03-15,Canada
3015,921255,2021-03-16,Canada
3460,924715,2021-03-17,Canada
3686,928401,2021-03-18,Canada
4351,932752,2021-03-19,Canada
3400,936152,2021-03-20,Canada
3041,939193,2021-03-21,Canada
5125,944318,2021-03-22,Canada
3692,948010,2021-03-23,Canada
4039,952049,2021-03-24,Canada
5235,957284,2021-03-25,Canada
5223,962507,2021-03-26,Canada
4437,966944,2021-03-27,Canada
4068,971012,2021-03-28,Canada
6589,977601,2021-03-29,Canada
4978,982579,2021-03-30,Canada
5787,988366,2021-03-31,Canada
5820,994186,2021-04-01,Canada
4091,998277,2021-04-02,Canada
7255,1005532,2021-04-03,Canada
4027,1009559,2021-04-04,Canada
10537,1020096,2021-04-05,Canada
7401,1027497,2021-04-06,Canada
7483,1034980,2021-04-07,Canada
8250,1043230,2021-04-08,Canada
9149,1052379,2021-04-09,Canada
7219,1059598,2021-04-10,Canada
7467,1067065,2021-04-11,Canada
11188,1078253,2021-04-12,Canada
7392,1085645,2021-04-13,Canada
9172,1094817,2021-04-14,Canada
9615,1104432,2021-04-15,Canada
9311,1113743,2021-04-16,Canada
7221,1120964,2021-04-17,Canada
7651,1128615,2021-04-18,Canada
10637,1139252,2021-04-19,Canada
7301,1146553,2021-04-20,Canada
6482,1153035,2021-04-21,Canada
10763,1163798,2021-04-22,Canada
8600,1172398,2021-04-23,Canada
7108,1179506,2021-04-24,Canada
6616,1186122,2021-04-25,Canada
9274,1195396,2021-04-26,Canada
7064,1202460,2021-04-27,Canada
8108,1210568,2021-04-28,Canada
9527,1220095,2021-04-29,Canada
8147,1228242,2021-04-30,Canada
7429,1235671,2021-05-01,Canada
6894,1242565,2021-05-02,Canada
8634,1251199,2021-05-03,Canada
6710,1257909,2021-05-04,Canada
7845,1265754,2021-05-05,Canada
7801,1273555,2021-05-06,Canada
7684,1281239,2021-05-07,Canada
6639,1287878,2021-05-08,Canada
6382,1294260,2021-05-09,Canada
7509,1301769,2021-05-10,Canada
5381,1307150,2021-05-11,Canada
6572,1313722,2021-05-12,Canada
6362,1320084,2021-05-13,Canada
6170,1326254,2021-05-14,Canada
5063,1331317,2021-05-15,Canada
4718,1336035,2021-05-16,Canada
5312,1341347,2021-05-17,Canada
3832,1345179,2021-05-18,Canada
5051,1350230,2021-05-19,Canada
4702,1354932,2021-05-20,Canada
4506,1359438,2021-05-21,Canada
3541,1362979,2021-05-22,Canada
3269,1366248,2021-05-23,Canada
2890,1369138,2021-05-24,Canada
3382,1372520,2021-05-25,Canada
2576,1375096,2021-05-26,Canada
2954,1378050,2021-05-27,Canada
3103,1381153,2021-05-28,Canada
2370,1383523,2021-05-29,Canada
2085,1385608,2021-05-30,Canada
2697,1388305,2021-05-31,Canada
1616,1389921,2021-06-01,Canada
2270,1392191,2021-06-02,Canada
2186,1394377,2021-06-03,Canada
2071,1396448,2021-06-04,Canada
1390,1397838,2021-06-05,Canada
1351,1399189,2021-06-06,Canada
1639,1400828,2021-06-07,Canada
1082,1401910,2021-06-08,Canada
1616,1403526,2021-06-09,Canada
1375,1404901,2021-06-10,Canada
1397,1406298,2021-06-11,Canada
1188,1407486,2021-06-12,Canada
984,1408470,2021-06-13,Canada
1247,1409717,2021-06-14,Canada
855,1410572,2021-06-15,Canada
1109,1411681,2021-06-16,Canada
1093,1412774,2021-06-17,Canada
995,1413769,2021-06-18,Canada
820,1414589,2021-06-19,Canada
596,1415185,2021-06-20,Canada
978,1416163,2021-06-21,Canada
534,1416697,2021-06-22,Canada
726,1417423,2021-06-23,Canada
732,1418155,2021-06-24,Canada
628,1418783,2021-06-25,Canada
434,1419217,2021-06-26,Canada
390,1419607,2021-06-27,Canada
1123,1420730,2021-06-28,Canada
445,1421175,2021-06-29,Canada
635,1421810,2021-06-30,Canada
88,1421898,2021-07-01,Canada
891,1422789,2021-07-02,Canada
297,1423086,2021-07-03,Canada
236,1423322,2021-07-04,Canada
903,1424225,2021-07-05,Canada
289,1424514,2021-07-06,Canada
579,1425093,2021-07-07,Canada
568,1425661,2021-07-08,Canada
757,1426418,2021-07-09,Canada
227,1426645,2021-07-10,Canada
167,1426812,2021-07-11,Canada
737,1427549,2021-07-12,Canada
307,1427856,2021-07-13,Canada
378,1428234,2021-07-14,Canada
416,1428650,2021-07-15,Canada
414,1429064,2021-07-16,Canada
317,1429381,2021-07-17,Canada
284,1429665,2021-07-18,Canada
646,1430311,2021-07-19,Canada
322,1430633,2021-07-20,Canada
527,1431160,2021-07-21,Canada
378,1431538,2021-07-22,Canada
591,1432129,2021-07-23,Canada
331,1432460,2021-07-24,Canada
267,1432727,2021-07-25,Canada
1069,1433796,2021-07-26,Canada
561,1434357,2021-07-27,Canada
795,1435152,2021-07-28,Canada
905,1436057,2021-07-29,Canada
932,1436989,2021-07-30,Canada
370,1437359,2021-07-31,Canada
274,1437633,2021-08-01,Canada
223,1437856,2021-08-02,Canada
2366,1440222,2021-08-03,Canada
985,1441207,2021-08-04,Canada
1531,1442738,2021-08-05,Canada
1575,1444313,2021-08-06,Canada
556,1444869,2021-08-07,Canada
583,1445452,2021-08-08,Canada
3227,1448679,2021-08-09,Canada
1333,1450012,2021-08-10,Canada
1973,1451985,2021-08-11,Canada
2127,1454112,2021-08-12,Canada
2459,1456571,2021-08-13,Canada
867,1457438,2021-08-14,Canada
709,1458147,2021-08-15,Canada
4428,1462575,2021-08-16,Canada
1877,1464452,2021-08-17,Canada
2523,1466975,2021-08-18,Canada
2871,1469846,2021-08-19,Canada
2972,1472818,2021-08-20,Canada
889,1473707,2021-08-21,Canada
837,1474544,2021-08-22,Canada
6030,1480574,2021-08-23,Canada
2386,1482960,2021-08-24,Canada
3154,1486114,2021-08-25,Canada
3507,1489621,2021-08-26,Canada
3795,1493416,2021-08-27,Canada
1277,1494693,2021-08-28,Canada
1026,1495719,2021-08-29,Canada
7404,1503123,2021-08-30,Canada
2926,1506049,2021-08-31,Canada
4020,1510069,2021-09-01,Canada
3997,1514066,2021-09-02,Canada
4268,1518334,2021-09-03,Canada
1446,1519780,2021-09-04,Canada
1388,1521168,2021-09-05,Canada
1078,1522246,2021-09-06,Canada
10359,1532605,2021-09-07,Canada
3725,1536330,2021-09-08,Canada
4264,1540594,2021-09-09,Canada
4650,1545244,2021-09-10,Canada
1781,1547025,2021-09-11,Canada
1432,1548457,2021-09-12,Canada
9637,1558094,2021-09-13,Canada
4003,1562097,2021-09-14,Canada
4472,1566569,2021-09-15,Canada
4660,1571229,2021-09-16,Canada
5103,1576332,2021-09-17,Canada
1741,1578073,2021-09-18,Canada
1691,1579764,2021-09-19,Canada
9154,1588918,2021-09-20,Canada
3745,1592663,2021-09-21,Canada
4069,1596732,2021-09-22,Canada
4605,1601337,2021-09-23,Canada
4574,1605911,2021-09-24,Canada
960,1606871,2021-09-25,Canada
879,1607750,2021-09-26,Canada
11677,1619427,2021-09-27,Canada
3470,1622897,2021-09-28,Canada
4320,1627217,2021-09-29,Canada
3481,1630698,2021-09-30,Canada
5644,1636342,2021-10-01,Canada
1502,1637844,2021-10-02,Canada
1219,1639063,2021-10-03,Canada
8759,1647822,2021-10-04,Canada
2661,1650483,2021-10-05,Canada
3837,1654320,2021-10-06,Canada
4051,1658371,2021-10-07,Canada
4211,1662582,2021-10-08,Canada
1428,1664010,2021-10-09,Canada
1359,1665369,2021-10-10,Canada
1127,1666496,2021-10-11,Canada
8164,1674660,2021-10-12,Canada
2693,1677353,2021-10-13,Canada
3222,1680575,2021-10-14,Canada
2761,1683336,2021-10-15,Canada
2004,1685340,2021-10-16,Canada
1054,1686394,2021-10-17,Canada
6077,1692471,2021-10-18,Canada
2179,1694650,2021-10-19,Canada
2758,1697408,2021-10-20,Canada
2879,1700287,2021-10-21,Canada
2610,1702897,2021-10-22,Canada
982,1703879,2021-10-23,Canada
815,1704694,2021-10-24,Canada
4930,1709624,2021-10-25,Canada
1818,1711442,2021-10-26,Canada
2561,1714003,2021-10-27,Canada
2657,1716660,2021-10-28,Canada
2569,1719229,2021-10-29,Canada
922,1720151,2021-10-30,Canada
894,1721045,2021-10-31,Canada
4487,1725532,2021-11-01,Canada
1921,1727453,2021-11-02,Canada
2298,1729751,2021-11-03,Canada
2633,1732384,2021-11-04,Canada
2521,1734905,2021-11-05,Canada
1056,1735961,2021-11-06,Canada
916,1736877,2021-11-07,Canada
5400,1742277,2021-11-08,Canada
2330,1744607,2021-11-09,Canada
2748,1747355,2021-11-10,Canada
1187,1748542,2021-11-11,Canada
4206,1752748,2021-11-12,Canada
1026,1753774,2021-11-13,Canada
983,1754757,2021-11-14,Canada
4972,1759729,2021-11-15,Canada
1805,1761534,2021-11-16,Canada
2639,1764173,2021-11-17,Canada
2753,1766926,2021-11-18,Canada
2902,1769828,2021-11-19,Canada
1292,1771120,2021-11-20,Canada
1064,1772184,2021-11-21,Canada
5152,1777336,2021-11-22,Canada
2216,1779552,2021-11-23,Canada
2742,1782294,2021-11-24,Canada
4225,1786519,2021-11-25,Canada
3040,1789559,2021-11-26,Canada
1537,1791096,2021-11-27,Canada
1196,1792292,2021-11-28,Canada
5110,1797402,2021-11-29,Canada
2372,1799774,2021-11-30,Canada
3283,1803057,2021-12-01,Canada
3263,1806320,2021-12-02,Canada
3561,1809881,2021-12-03,Canada
1931,1811812,2021-12-04,Canada
1683,1813495,2021-12-05,Canada
6135,1819630,2021-12-06,Canada
3012,1822642,2021-12-07,Canada
3791,1826433,2021-12-08,Canada
4225,1830658,2021-12-09,Canada
3089,1833747,2021-12-10,Canada
4563,1838310,2021-12-11,Canada
2327,1840637,2021-12-12,Canada
8374,1849011,2021-12-13,Canada
4550,1853561,2021-12-14,Canada
6273,1859834,2021-12-15,Canada
7656,1867490,2021-12-16,Canada
9277,1876767,2021-12-17,Canada
5171,1881938,2021-12-18,Canada
5633,1887571,2021-12-19,Canada
19964,1907535,2021-12-20,Canada
12276,1919811,2021-12-21,Canada
15846,1935657,2021-12-22,Canada
22952,1958609,2021-12-23,Canada
25399,1984008,2021-12-24,Canada
15026,1999034,2021-12-25,Canada
12661,2011695,2021-12-26,Canada
27659,2039354,2021-12-27,Canada
23750,2063104,2021-12-28,Canada
55133,2118237,2021-12-29,Canada
41931,2160168,2021-12-30,Canada
46042,2206210,2021-12-31,Canada
22671,2228881,2022-01-01,Canada
22211,2251092,2022-01-02,Canada
57137,2308229,2022-01-03,Canada
47814,2356043,2022-01-04,Canada
40245,2396288,2022-01-05,Canada
