HA_code,province,HA,notes
4805,Alberta,Calgary Zone,
4806,Alberta,Calgary Zone,
4815,Alberta,Calgary Zone,
4808,Alberta,Central Zone,
4810,Alberta,Central Zone,
4811,Alberta,Central Zone,minor?
4804,Alberta,Central Zone,
4807,Alberta,Central Zone,
4809,Alberta,Central Zone,
4811,Alberta,Edmonton Zone,
4811,Alberta,North Zone,minor?
4812,Alberta,North Zone,
4816,Alberta,North Zone,
4819,Alberta,North Zone,
4813,Alberta,North Zone,
4814,Alberta,North Zone,
4817,Alberta,North Zone,
4818,Alberta,North Zone,
4803,Alberta,South Sone,
4804,Alberta,South Sone,
4801,Alberta,South Zone,
4802,Alberta,South Zone,
5919,British Columbia,Central Vancouver Island,
5921,British Columbia,Central Vancouver Island,
5923,British Columbia,Central Vancouver Island,
5901,British Columbia,East Kootenay,
5909,British Columbia,Fraser East,
5915,British Columbia,Fraser North,
5909,British Columbia,Fraser North,
5915,British Columbia,Fraser South,
5903,British Columbia,Kootenay Boundary,
5935,British Columbia,Kootenay Boundary,
5905,British Columbia,Kootenay Boundary,
5927,British Columbia,North Shore/Coast Garibaldi,
5931,British Columbia,North Shore/Coast Garibaldi,
5929,British Columbia,North Shore/Coast Garibaldi,
5945,British Columbia,North Shore/Coast Garibaldi,
5915,British Columbia,North Shore/Coast Garibaldi,
5926,British Columbia,North Vancouver Island,
5924,British Columbia,North Vancouver Island,
5943,British Columbia,North Vancouver Island,
5955,British Columbia,Northeast,
5959,British Columbia,Northeast,
5957,British Columbia,Northeast,
5491,British Columbia,Northern Interior,
5841,British Columbia,Northern Interior,
5953,British Columbia,Northern Interior,
5947,British Columbia,Northwest,
5949,British Columbia,Northwest,
5951,British Columbia,Northwest,
5957,British Columbia,Northwest,
5907,British Columbia,Okanagan,
5937,British Columbia,Okanagan,
5917,British Columbia,South Vancouver Island,
5933,British Columbia,Thompson Cariboo Shuswap,
5939,British Columbia,Thompson Cariboo Shuswap,
5941,British Columbia,Thompson Cariboo Shuswap,
4601,Manitoba,Interlake-Eastern,
4612,Manitoba,Interlake-Eastern,
4613,Manitoba,Interlake-Eastern,
4614,Manitoba,Interlake-Eastern,
4618,Manitoba,Interlake-Eastern,
4619,Manitoba,Interlake-Eastern,
4621,Manitoba,Northern,
4622,Manitoba,Northern,
4623,Manitoba,Northern,
4604,Manitoba,Prairie Mountain,
4605,Manitoba,Prairie Mountain,
4606,Manitoba,Prairie Mountain,
4607,Manitoba,Prairie Mountain,
4615,Manitoba,Prairie Mountain,
4616,Manitoba,Prairie Mountain,
4617,Manitoba,Prairie Mountain,
4620,Manitoba,Prairie Mountain,
4609,Manitoba,Southern Health,
4602,Manitoba,Southern Health,
4603,Manitoba,Southern Health,
4604,Manitoba,Southern Health,
4608,Manitoba,Southern Health,also Prairie Mountain
4610,Manitoba,Southern Health,
4611,Manitoba,Southern Health,
1306,New Brunswick,Zone 1 (Moncton area),
1307,New Brunswick,Zone 1 (Moncton area),
1308,New Brunswick,Zone 1 (Moncton area),
1301,New Brunswick,Zone 2 (Saint John area),
1302,New Brunswick,Zone 2 (Saint John area),
1305,New Brunswick,Zone 2 (Saint John area),
1303,New Brunswick,Zone 3 (Fredericton area),
1304,New Brunswick,Zone 3 (Fredericton area),
1310,New Brunswick,Zone 3 (Fredericton area),
1311,New Brunswick,Zone 3 (Fredericton area),
1312,New Brunswick,Zone 3 (Fredericton area),
1313,New Brunswick,Zone 4 (Edmunston area),
1314,New Brunswick,Zone 5 (Campbellton area),
1315,New Brunswick,Zone 6 (Bathurst area),
1309,New Brunswick,Zone 7 (Miramichi area),
1006,Newfoundland and Labrador,Central,
1007,Newfoundland and Labrador,Central,
1008,Newfoundland and Labrador,Central,
1001,Newfoundland and Labrador,Eastern,
1002,Newfoundland and Labrador,Eastern,
1010,Newfoundland and Labrador,Labrador-Grenfell,
1011,Newfoundland and Labrador,Labrador-Grenfell,
1003,Newfoundland and Labrador,Western,
1004,Newfoundland and Labrador,Western,
1005,Newfoundland and Labrador,Western,
1009,Newfoundland and Labrador,Western,
6106,Northwest Territories,Northwest Territories,
6101,Northwest Territories,Northwest Territories,
6102,Northwest Territories,Northwest Territories,
6104,Northwest Territories,Northwest Territories,
6105,Northwest Territories,Northwest Territories,
6103,Northwest Territories,Northwest Territories,
1207,Nova Scotia,Zone 1 - Western,
1201,Nova Scotia,Zone 1 - Western,
1202,Nova Scotia,Zone 1 - Western,
1203,Nova Scotia,Zone 1 - Western,
1204,Nova Scotia,Zone 1 - Western,
1205,Nova Scotia,Zone 1 - Western,
1206,Nova Scotia,Zone 1 - Western,
1210,Nova Scotia,Zone 2 - Northern,
1211,Nova Scotia,Zone 2 - Northern,
1212,Nova Scotia,Zone 2 - Northern,
1213,Nova Scotia,Zone 3 - Eastern,
1214,Nova Scotia,Zone 3 - Eastern,
1215,Nova Scotia,Zone 3 - Eastern,
1216,Nova Scotia,Zone 3 - Eastern,
1217,Nova Scotia,Zone 3 - Eastern,
1218,Nova Scotia,Zone 3 - Eastern,
1208,Nova Scotia,Zone 4 - Central,
1209,Nova Scotia,Zone 4 - Central,
6204,Nunavut,Nunavut,
6205,Nunavut,Nunavut,
6208,Nunavut,Nunavut,
3557,Ontario,Algoma,
3529,Ontario,Brant,
3536,Ontario,Chatham-Kent,
3518,Ontario,Durham,
2476,Ontario,Eastern,
3501,Ontario,Eastern,
3502,Ontario,Eastern,
3541,Ontario,Grey Bruce,
3542,Ontario,Grey Bruce,
3528,Ontario,Haldimand-Norfolk,
3514,Ontario,Haliburton Kawartha Pine Ridge,
3516,Ontario,Haliburton Kawartha Pine Ridge,
3546,Ontario,Haliburton Kawartha Pine Ridge,
3524,Ontario,Halton,
3525,Ontario,Hamilton,
3512,Ontario,Hastings Prince Edward,
3513,Ontario,Hastings Prince Edward,
3540,Ontario,Huron Perth,Originally Huron County
3531,Ontario,Huron Perth,originally Perth district
3510,Ontario,Kingston Frontenac Lennox and Addington,
3511,Ontario,Kingston Frontenac Lennox and Addington,
3538,Ontario,Lambton,
3509,Ontario,Leeds Grenville and Lanark,
3507,Ontario,Leeds Grenville and Lanark ,
3539,Ontario,Middlesex-London,
3526,Ontario,Niagara,
3548,Ontario,North Bay Parry Sound,
3549,Ontario,North Bay Parry Sound,
3559,Ontario,Northwestern,
3560,Ontario,Northwestern,
3506,Ontario,Ottawa,
3521,Ontario,Peel,
3515,Ontario,Peterborough,
3516,Ontario,Peterborough,
3556,Ontario,Porcupine,
3547,Ontario,Renfrew,
3543,Ontario,Simcoe Muskoka,
3544,Ontario,Simcoe Muskoka,
3546,Ontario,Simcoe Muskoka,
3534,Ontario,Southwestern,
3532,Ontario,Southwestern,
3551,Ontario,Sudbury,
3552,Ontario,Sudbury,
3553,Ontario,Sudbury,
3558,Ontario,Thunder Bay,
3554,Ontario,Timiskaming,
3520,Ontario,Toronto,
3530,Ontario,Waterloo,
3522,Ontario,Wellington Dufferin Guelph,
3523,Ontario,Wellington Dufferin Guelph,
3537,Ontario,Windsor-Essex,
3519,Ontario,York,
1101,Prince Edward Island,Prince Edward Island,
1102,Prince Edward Island,Prince Edward Island,
1103,Prince Edward Island,Prince Edward Island,
2465,Quebec, Laval,
2485,Quebec,Abitibi-Temiscamingue,
2486,Quebec,Abitibi-Temiscamingue,
2487,Quebec,Abitibi-Temiscamingue,
2488,Quebec,Abitibi-Temiscamingue,
2489,Quebec,Abitibi-Temiscamingue,
2407,Quebec,Bas-Saint-Laurent,
2408,Quebec,Bas-Saint-Laurent,
2409,Quebec,Bas-Saint-Laurent,
2410,Quebec,Bas-Saint-Laurent,
2411,Quebec,Bas-Saint-Laurent,
2412,Quebec,Bas-Saint-Laurent,
2413,Quebec,Bas-Saint-Laurent,
2414,Quebec,Bas-Saint-Laurent,
2415,Quebec,Capital-Nationale,
2416,Quebec,Capital-Nationale,
2421,Quebec,Capital-Nationale,
2434,Quebec,Capital-Nationale,
2420,Quebec,Capital-Nationale,
2422,Quebec,Capital-Nationale,
2423,Quebec,Capital-Nationale,
2417,Quebec,Chaudiere-Appalaches,
2418,Quebec,Chaudiere-Appalaches,
2419,Quebec,Chaudiere-Appalaches,
2426,Quebec,Chaudiere-Appalaches,
2427,Quebec,Chaudiere-Appalaches,
2428,Quebec,Chaudiere-Appalaches,
2429,Quebec,Chaudiere-Appalaches,
2431,Quebec,Chaudiere-Appalaches,
2433,Quebec,Chaudiere-Appalaches,
2460,Quebec,Chaudiere-Appalaches,
2425,Quebec,Chaudiere-Appalaches,
2495,Quebec,Cote-Nord,
2496,Quebec,Cote-Nord,
2497,Quebec,Cote-Nord,
2498,Quebec,Cote-Nord,
2430,Quebec,Estrie,
2440,Quebec,Estrie,
2441,Quebec,Estrie,
2442,Quebec,Estrie,
2444,Quebec,Estrie,
2445,Quebec,Estrie,
2446,Quebec,Estrie,
2447,Quebec,Estrie,
2443,Quebec,Estrie,
2401,Quebec,Gaspecie-Iles-de-la-Madeleine,
2402,Quebec,Gaspecie-Iles-de-la-Madeleine,
2403,Quebec,Gaspecie-Iles-de-la-Madeleine,
2404,Quebec,Gaspecie-Iles-de-la-Madeleine,
2405,Quebec,Gaspecie-Iles-de-la-Madeleine,
2406,Quebec,Gaspecie-Iles-de-la-Madeleine,
2360,Quebec,Lanaudiere,
2452,Quebec,Lanaudiere,
2460,Quebec,Lanaudiere,
2460,Quebec,Lanaudiere,
2461,Quebec,Lanaudiere,
2463,Quebec,Lanaudiere,
2464,Quebec,Lanaudiere,
2462,Quebec,Laurentides,
2472,Quebec,Laurentides,
2473,Quebec,Laurentides,
2474,Quebec,Laurentides,
2475,Quebec,Laurentides,
2476,Quebec,Laurentides,
2477,Quebec,Laurentides,
2478,Quebec,Laurentides,
2479,Quebec,Laurentides,
3502,Quebec,Laurentides,
2432,Quebec,Mauricie et du Centre-du-Quebec,
2435,Quebec,Mauricie et du Centre-du-Quebec,
2437,Quebec,Mauricie et du Centre-du-Quebec,
2438,Quebec,Mauricie et du Centre-du-Quebec,
2439,Quebec,Mauricie et du Centre-du-Quebec,
2449,Quebec,Mauricie et du Centre-du-Quebec,
2450,Quebec,Mauricie et du Centre-du-Quebec,
2490,Quebec,Mauricie et du Centre-du-Quebec,
2436,Quebec,Mauricie et du Centre-du-Quebec,
2448,Quebec,Monteregie,
2451,Quebec,Monteregie,
2453,Quebec,Monteregie,
2454,Quebec,Monteregie,
2455,Quebec,Monteregie,
2456,Quebec,Monteregie,
2457,Quebec,Monteregie,
2458,Quebec,Monteregie,
2459,Quebec,Monteregie,
2467,Quebec,Monteregie,
2468,Quebec,Monteregie,
2469,Quebec,Monteregie,
2470,Quebec,Monteregie,
2471,Quebec,Monteregie,
2466,Quebec,Montreal,
2471,Quebec,Montreal,
2480,Quebec,Outaouais,
2483,Quebec,Outaouais,
2484,Quebec,Outaouais,
2481,Quebec,Outaouais,
2482,Quebec,Outaouais,
2439,Quebec,Saguenay-Lac-Saint-Jean,
2491,Quebec,Saguenay-Lac-Saint-Jean,
2492,Quebec,Saguenay-Lac-Saint-Jean,
2493,Quebec,Saguenay-Lac-Saint-Jean,
2494,Quebec,Saguenay-Lac-Saint-Jean,
2499,Quebec,Terres-Crie-de-la-Baie-James,
4708,Saskatchewan,Cypress Regional,
4707,Saskatchewan,Five Hills Regional,
4706,Saskatchewan,Five Hills Regional,
4712,Saskatchewan,Prairie North Regional,
4716,Saskatchewan,Prairie North Regional,
4717,Saskatchewan,Prairie North Regional,
4715,Saskatchewan,Prince Albert Parkland Regional,
4706,Saskatchewan,Regina Quâ€™Appelle Regional,
4711,Saskatchewan,Saskatoon Regional,
4701,Saskatchewan,Sun Country Regional,
4702,Saskatchewan,Sun Country Regional,
4709,Saskatchewan,Sunrise Regional,
6001,Yukon,Yukon,
