Code,Census subdivision,Type
2405020Hope Town,Hope Town,Municipalité
4819815Horse Lakes 152B,Horse Lakes 152B,Indian reserve
3540046Howick,Howick,Township
2469055Huntingdon,Huntingdon,Ville
3540040Huron East,Huron East,Municipality
3557035Huron Shores,Huron Shores,Municipality
4805019Hussar,Hussar,Village
4819008Hythe,Hythe,Village
4718067Île-à-la-Crosse,Île-à-la-Crosse,Northern village
1007067Indian Bay,Indian Bay,Town
1208014Indian Brook 14,Indian Brook 14,Indian reserve
4706039Indian Head,Indian Head,Town
4706038Indian Head No. 156,Indian Head No. 156,Rural municipality
1315024Inkerman,Inkerman,Parish
4808008Innisfail,Innisfail,Town
4709023Insinger No. 275,Insinger No. 275,Rural municipality
4715054Invergordon No. 430,Invergordon No. 430,Rural municipality
4709054Invermay No. 305,Invermay No. 305,Rural municipality
5901039Invermere,Invermere,District municipality
2432058Inverness,Inverness,Municipalité
"1215001Inverness, Subd. C","Inverness, Subd. C",Subdivision of county municipality
3556031Iroquois Falls,Iroquois Falls,Town
4710004Ituna,Ituna,Town
4710003Ituna Bon Accord No. 246,Ituna Bon Accord No. 246,Rural municipality
2478042Ivry-sur-le-Lac,Ivry-sur-le-Lac,Municipalité
1005005Jackson's Arm,Jackson's Arm,Town
3557016Johnson,Johnson,Township
1304014Johnston,Johnston,Parish
3549051Joly,Joly,Township
2414050Kamouraska,Kamouraska,Municipalité
5903023Kaslo,Kaslo,Village
4706050Katepwa,Katepwa,Resort village
3549018Kearney,Kearney,Town
1314020Kedgwick,Kedgwick,Rural community
4709820Keeseekoose 66,Keeseekoose 66,Indian reserve
4812811Kehewin 123,Kehewin 123,Indian reserve
4714022Kelvington,Kelvington,Town
4711036Kenaston,Kenaston,Village
"3560090Kenora, Unorganized","Kenora, Unorganized",Unorganized
1103014Kensington,Kensington,Town
5907009Keremeos,Keremeos,Village
3538056Kettle Point 44,Kettle Point 44,Indian reserve
4702057Key West No. 70,Key West No. 70,Rural municipality
4709046Keys No. 303,Keys No. 303,Rural municipality
"3547033Killaloe, Hagarty and Richards","Killaloe, Hagarty and Richards",Township
3552036Killarney,Killarney,Municipality
4605025Killarney - Turtle Mountain,Killarney - Turtle Mountain,Rural municipality
5901028Kimberley,Kimberley,City
4707066King George No. 256,King George No. 256,Rural municipality
"1207001Kings, Subd. A","Kings, Subd. A",Subdivision of county municipality
2442070Kingsbury,Kingsbury,Village
2439097Kingsey Falls,Kingsey Falls,Ville
4715071Kinistino No. 459,Kinistino No. 459,Rural municipality
2485010Kipawa,Kipawa,Municipalité
1004020Kippens,Kippens,Town
5949813Kispiox 1,Kispiox 1,Indian reserve
5949005Kitimat,Kitimat,District municipality
5949028Kitimat-Stikine B,Kitimat-Stikine B,Regional district electoral area
5949041Kitimat-Stikine D,Kitimat-Stikine D,Regional district electoral area
4805041Kneehill County,Kneehill County,Municipal district
5905054Kootenay Boundary E / West Boundary,Kootenay Boundary E / West Boundary,Regional district electoral area
2490017La Bostonnais,La Bostonnais,Municipalité
2478115La Conception,La Conception,Municipalité
2429030La Guadeloupe,La Guadeloupe,Village
2479047La Macaza,La Macaza,Municipalité
2404030La Martre,La Martre,Municipalité
2488015La Morandière,La Morandière,Municipalité
2488045La Motte,La Motte,Municipalité
2441027La Patrie,La Patrie,Municipalité
2414085La Pocatière,La Pocatière,Ville
2409005La Rédemption,La Rédemption,Paroisse (municipalité de)
2487080La Reine,La Reine,Municipalité
2487090La Sarre,La Sarre,Ville
2478120Labelle,Labelle,Municipalité
4601057Lac du Bonnet,Lac du Bonnet,Rural municipality
4812037Lac la Biche County,Lac la Biche County,Municipal district
4704061Lac Pelletier No. 107,Lac Pelletier No. 107,Rural municipality
4813001Lac Ste. Anne County,Lac Ste. Anne County,Municipal district
4708042Lacadena No. 228,Lacadena No. 228,Rural municipality
2407057Lac-au-Saumon,Lac-au-Saumon,Municipalité
2435010Lac-aux-Sables,Lac-aux-Sables,Paroisse (municipalité de)
2491005Lac-Bouchette,Lac-Bouchette,Municipalité
2479078Lac-des-Écorces,Lac-des-Écorces,Municipalité
2480130Lac-des-Plages,Lac-des-Plages,Municipalité
2479015Lac-du-Cerf,Lac-du-Cerf,Municipalité
2428053Lac-Etchemin,Lac-Etchemin,Municipalité
2483020Lac-Sainte-Marie,Lac-Sainte-Marie,Municipalité
2479105Lac-Saint-Paul,Lac-Saint-Paul,Municipalité
2480095Lac-Simon,Lac-Simon,Municipalité
2478095Lac-Supérieur,Lac-Supérieur,Municipalité
2497904Lac-Walker,Lac-Walker,Unorganized
4715029Laird,Laird,Village
4715026Laird No. 404,Laird No. 404,Rural municipality
4703093Lake Johnston No. 102,Lake Johnston No. 102,Rural municipality
4715006Lake Lenore,Lake Lenore,Village
3544027Lake of Bays,Lake of Bays,Township
4710061Lakeside No. 338,Lakeside No. 338,Rural municipality
3538040Lambton Shores,Lambton Shores,Municipality
4810058Lamont County,Lamont County,Municipal district
4701032Lampman,Lampman,Town
1010004L'Anse-au-Clair,L'Anse-au-Clair,Town
2494210L'Anse-Saint-Jean,L'Anse-Saint-Jean,Municipalité
2478015Lantier,Lantier,Municipalité
3554006Latchford,Latchford,Town
2485060Latulipe-et-Gaboury,Latulipe-et-Gaboury,Cantons unis (municipalité de)
2488080Launay,Launay,Canton (municipalité de)
2433060Laurier-Station,Laurier-Station,Village
2432072Laurierville,Laurierville,Municipalité
2485050Laverlochère,Laverlochère,Municipalité
1002011Lawn,Lawn,Town
2442045Lawrenceville,Lawrenceville,Village
1315030Le Goulet,Le Goulet,Village
4708058Leader,Leader,Town
1008048Leading Tickles,Leading Tickles,Town
4716042Leask,Leask,Village
4716041Leask No. 464,Leask No. 464,Rural municipality
2499005Lebel-sur-Quévillon,Lebel-sur-Quévillon,Ville
4706049Lebret,Lebret,Village
2433123Leclercville,Leclercville,Municipalité
2413050Lejeune,Lejeune,Municipalité
4705066Lemberg,Lemberg,Town
2438020Lemieux,Lemieux,Municipalité
1103035Lennox Island 1,Lennox Island 1,Indian reserve
4716061Leoville,Leoville,Village
2495025Les Escoumins,Les Escoumins,Municipalité
2408005Les Méchins,Les Méchins,Municipalité
1002002Lewin's Cove,Lewin's Cove,Town
1008044Lewisporte,Lewisporte,Town
2484035L'Île-du-Grand-Calumet,L'Île-du-Grand-Calumet,Municipalité
5931026Lillooet,Lillooet,District municipality
4805046Linden,Linden,Village
4706098Lipton,Lipton,Village
4706096Lipton No. 217,Lipton No. 217,Rural municipality
2416023L'Isle-aux-Coudres,L'Isle-aux-Coudres,Municipalité
2417078L'Islet,L'Islet,Municipalité
2412043L'Isle-Verte,L'Isle-Verte,Municipalité
4715851Little Red River 106C,Little Red River 106C,Indian reserve
4702033Lomond No. 37,Lomond No. 37,Rural municipality
1001263Long Harbour-Mount Arlington Heights,Long Harbour-Mount Arlington Heights,Town
4609025Long Plain (Part) 6,Long Plain (Part) 6,Indian reserve
1002013Lord's Cove,Lord's Cove,Town
1312011Lorne,Lorne,Parish
4604064Lorne,Lorne,Municipality
4711059Lost River No. 313,Lost River No. 313,Rural municipality
1103058Lot 1,Lot 1,Township and royalty
1103056Lot 2,Lot 2,Township and royalty
1103054Lot 3,Lot 3,Township and royalty
1103051Lot 4,Lot 4,Township and royalty
1103049Lot 5,Lot 5,Township and royalty
1103041Lot 6,Lot 6,Township and royalty
1103048Lot 7,Lot 7,Township and royalty
1103046Lot 8,Lot 8,Township and royalty
1103044Lot 9,Lot 9,Township and royalty
1103034Lot 12,Lot 12,Township and royalty
1103032Lot 13,Lot 13,Township and royalty
1101046Lot 40,Lot 40,Township and royalty
1101041Lot 42,Lot 42,Township and royalty
1101031Lot 43,Lot 43,Township and royalty
1101032Lot 44,Lot 44,Township and royalty
1101038Lot 46,Lot 46,Township and royalty
1101039Lot 47,Lot 47,Township and royalty
1101014Lot 51,Lot 51,Township and royalty
1101016Lot 52,Lot 52,Township and royalty
1101019Lot 53,Lot 53,Township and royalty
1101026Lot 54,Lot 54,Township and royalty
1101028Lot 55,Lot 55,Township and royalty
1101029Lot 56,Lot 56,Township and royalty
1102006Lot 58,Lot 58,Township and royalty
1101009Lot 59,Lot 59,Township and royalty
1101006Lot 63,Lot 63,Township and royalty
1101001Lot 64,Lot 64,Township and royalty
1101011Lot 66,Lot 66,Township and royalty
2433115Lotbinière,Lotbinière,Municipalité
4811803Louis Bull 138B,Louis Bull 138B,Indian reserve
4604040Louise,Louise,Municipality
2451015Louiseville,Louiseville,Ville
1004037Lourdes,Lourdes,Town
4707059Lucky Lake,Lucky Lake,Village
1008004Lumsden,Lumsden,Town
1206001Lunenburg,Lunenburg,Municipal district
1206006Lunenburg,Lunenburg,Town
4713044Luseland,Luseland,Town
2432065Lyster,Lyster,Municipalité
2487058Macamic,Macamic,Ville
3549054Machar,Machar,Township
5953033Mackenzie,Mackenzie,District municipality
3547030Madawaska Valley,Madawaska Valley,Township
3549043Magnetawan,Magnetawan,Municipality
1206008Mahone Bay,Mahone Bay,Town
1315040Maisonnette,Maisonnette,Village
4717802Makaoo (Part) 120,Makaoo (Part) 120,Indian reserve
4717807Makwa Lake 129B,Makwa Lake 129B,Indian reserve
2452095Mandeville,Mandeville,Municipalité
4711054Manitou Beach,Manitou Beach,Resort village
4713079Manitou Lake No. 442,Manitou Lake No. 442,Rural municipality
2483065Maniwaki,Maniwaki,Ville
4703019Mankota,Mankota,Village
4810034Mannville,Mannville,Village
2438028Manseau,Manseau,Municipalité
2484065Mansfield-et-Pontefract,Mansfield-et-Pontefract,Municipalité
4707071Maple Bush No. 224,Maple Bush No. 224,Rural municipality
3523033Mapleton,Mapleton,Township
4716014Marcelin,Marcelin,Village
2442065Maricourt,Maricourt,Municipalité
4707042Marquis No. 191,Marquis No. 191,Rural municipality
4712034Marriott No. 317,Marriott No. 317,Rural municipality
4713091Marsden,Marsden,Village
2430035Marston,Marston,Canton (municipalité de)
1002024Marystown,Marystown,Town
2451008Maskinongé,Maskinongé,Municipalité
3554056Matachewan,Matachewan,Township
2499015Matagami,Matagami,Ville
3552052Mattagami 71,Mattagami 71,Indian reserve
3548021Mattawa,Mattawa,Town
3548019Mattawan,Mattawan,Township
4813002Mayerthorpe,Mayerthorpe,Town
4716005Mayfield No. 406,Mayfield No. 406,Rural municipality
1310006McAdam,McAdam,Village
5953012McBride,McBride,Village
3549031McDougall,McDougall,Municipality
3549012McMurrich/Monteith,McMurrich/Monteith,Township
4717054Meadow Lake No. 588,Meadow Lake No. 588,Rural municipality
4716062Medstead No. 497,Medstead No. 497,Rural municipality
1310013Meductic,Meductic,Village
4716038Meeting Lake No. 466,Meeting Lake No. 466,Rural municipality
2442075Melbourne,Melbourne,Canton (municipalité de)
4705074Melville,Melville,City
4717039Mervin,Mervin,Village
2483060Messines,Messines,Municipalité
2409048Métis-sur-Mer,Métis-sur-Mer,Ville
4702039Midale,Midale,Town
4715047Middle Lake,Middle Lake,Village
5905037Midway,Midway,Village
2430040Milan,Milan,Municipalité
1003018Milltown-Head of Bay d'Espoir,Milltown-Head of Bay d'Espoir,Town
4805009Milo,Milo,Village
4810026Minburn County No. 27,Minburn County No. 27,Municipal district
3546015Minden Hills,Minden Hills,Township
1008095Ming's Bight,Ming's Bight,Town
4615075Minnedosa,Minnedosa,Town
1304022Minto,Minto,Village
3523043Minto,Minto,Town
4615074Minto-Odanah,Minto-Odanah,Municipality
4708046Miry Creek No. 229,Miry Creek No. 229,Rural municipality
4716855Mistawasis 103,Mistawasis 103,Indian reserve
3543050Mnjikaning First Nation 32,Mnjikaning First Nation 32,Indian reserve
1101018Montague,Montague,Town
4808813Montana 139,Montana 139,Indian reserve
4603030Montcalm,Montcalm,Rural municipality
2414005Mont-Carmel,Mont-Carmel,Municipalité
2480010Montebello,Montebello,Municipalité
2409077Mont-Joli,Mont-Joli,Ville
2418050Montmagny,Montmagny,Ville
4706001Montmartre No. 126,Montmartre No. 126,Rural municipality
2480090Montpellier,Montpellier,Municipalité
4715853Montreal Lake 106B,Montreal Lake 106B,Indian reserve
2479110Mont-Saint-Michel,Mont-Saint-Michel,Municipalité
2478102Mont-Tremblant,Mont-Tremblant,Ville
4717812Moosomin 112B,Moosomin 112B,Indian reserve
3556106Moosonee,Moosonee,Town
1101048Morell,Morell,Community
4603065Morris,Morris,Rural municipality
4603067Morris,Morris,Town
4711052Morris No. 312,Morris No. 312,Rural municipality
3540050Morris-Turnberry,Morris-Turnberry,Municipality
4707027Morse,Morse,Town
4707024Morse No. 165,Morse No. 165,Rural municipality
4703092Mossbank,Mossbank,Town
4617072Mossey River,Mossey River,Rural municipality
1001197Mount Carmel-Mitchells Brook-St. Catherine's,Mount Carmel-Mitchells Brook-St. Catherine's,Town
5943033Mount Waddington D,Mount Waddington D,Regional district electoral area
4806028Mountain View County,Mountain View County,Municipal district
1213008Mulgrave,Mulgrave,Town
4810061Mundare,Mundare,Town
1101004Murray River,Murray River,Community
4706813Muscowpetung 80,Muscowpetung 80,Indian reserve
1008006Musgrave Harbour,Musgrave Harbour,Town
1007032Musgravetown,Musgravetown,Town
4716854Muskeg Lake Cree Nation 102,Muskeg Lake Cree Nation 102,Indian reserve
3544053Muskoka Lakes,Muskoka Lakes,Township
4710822Muskowekwan 85,Muskowekwan 85,Indian reserve
1310054Nackawic,Nackawic,Town
2480110Namur,Namur,Municipalité
5921014Nanaimo B,Nanaimo B,Regional district electoral area
4803026Nanton,Nanton,Town
4615020Neepawa,Neepawa,Town
1309038Neguac,Neguac,Village
4713094Neilburg,Neilburg,Village
5931844Nequatque,Nequatque,Indian reserve
5933898Neskonlith,Neskonlith,Indian reserve
3529021New Credit (Part) 40A,New Credit (Part) 40A,Indian reserve
3539002Newbury,Newbury,Village
1007060New-Wes-Valley,New-Wes-Valley,Town
3541060Neyaashiinigmiing 27,Neyaashiinigmiing 27,Indian reserve
2450072Nicolet,Nicolet,Ville
4714072Nipawin No. 487,Nipawin No. 487,Rural municipality
3558044Nipigon,Nipigon,Township
2479030Nominingue,Nominingue,Municipalité
4608032Norfolk-Treherne,Norfolk-Treherne,Municipality
2492040Normandin,Normandin,Ville
1001285Norman's Cove-Long Cove,Norman's Cove-Long Cove,Town
2487115Normétal,Normétal,Municipalité
4709072Norquay,Norquay,Town
4607066North Cypress-Langford,North Cypress-Langford,Municipality
3510045North Frontenac,North Frontenac,Township
3501050North Glengarry,North Glengarry,Township
3515037North Kawartha,North Kawartha,Township
4608046North Norfolk,North Norfolk,Municipality
5937023North Okanagan E,North Okanagan E,Regional district electoral area
5937041North Okanagan F,North Okanagan F,Regional district electoral area
3531040North Perth,North Perth,Municipality
4701018North Portal,North Portal,Village
4706048North Qu'Appelle No. 187,North Qu'Appelle No. 187,Rural municipality
1102046North Rustico,North Rustico,Community
5933887North Thompson 1,North Thompson 1,Indian reserve
1311008Northampton,Northampton,Parish
3541069Northern Bruce Peninsula,Northern Bruce Peninsula,Municipality
1303018Northfield,Northfield,Parish
1305018Norton,Norton,Village
4702052Norton No. 69,Norton No. 69,Rural municipality
2419010Notre-Dame-Auxiliatrice-de-Buckland,Notre-Dame-Auxiliatrice-de-Buckland,Paroisse (municipalité de)
2480015Notre-Dame-de-Bonsecours,Notre-Dame-de-Bonsecours,Municipalité
2480020Notre-Dame-de-la-Paix,Notre-Dame-de-la-Paix,Municipalité
1313008Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Parish
2432080Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,Paroisse (municipalité de)
2479010Notre-Dame-de-Pontmain,Notre-Dame-de-Pontmain,Municipalité
2430010Notre-Dame-des-Bois,Notre-Dame-des-Bois,Municipalité
2415025Notre-Dame-des-Monts,Notre-Dame-des-Monts,Municipalité
2411045Notre-Dame-des-Neiges,Notre-Dame-des-Neiges,Municipalité
2479005Notre-Dame-du-Laus,Notre-Dame-du-Laus,Municipalité
2485090Notre-Dame-du-Nord,Notre-Dame-du-Nord,Municipalité
2418040Notre-Dame-du-Rosaire,Notre-Dame-du-Rosaire,Municipalité
2406020Nouvelle,Nouvelle,Municipalité
4615032Oakview,Oakview,Rural municipality
2450802Odanak,Odanak,Indian reserve
4702058Ogema,Ogema,Town
5907022Okanagan-Similkameen A,Okanagan-Similkameen A,Regional district electoral area
5907026Okanagan-Similkameen B,Okanagan-Similkameen B,Regional district electoral area
5907028Okanagan-Similkameen C,Okanagan-Similkameen C,Regional district electoral area
5907053Okanagan-Similkameen G,Okanagan-Similkameen G,Regional district electoral area
1001343Old Perlican,Old Perlican,Town
4806034Olds,Olds,Town
1103042O'Leary,O'Leary,Community
5907014Oliver,Oliver,Town
2469037Ormstown,Ormstown,Municipalité
1303012Oromocto,Oromocto,Town
1303013Oromocto 26,Oromocto 26,Indian reserve
5907005Osoyoos,Osoyoos,Town
5907802Osoyoos 1,Osoyoos 1,Indian reserve
2484055Otter Lake,Otter Lake,Municipalité
4711027Outlook,Outlook,Town
4701014Oxbow,Oxbow,Town
1211012Oxford,Oxford,Town
2413015Packington,Packington,Paroisse (municipalité de)
2409040Padoue,Padoue,Municipalité
2487025Palmarolle,Palmarolle,Municipalité
4702054Pangman,Pangman,Village
2480037Papineauville,Papineauville,Municipalité
1315019Paquetville,Paquetville,Parish
1315020Paquetville,Paquetville,Village
4717034Paradise Hill,Paradise Hill,Village
4717047Parkdale No. 498,Parkdale No. 498,Rural municipality
1002034Parkers Cove,Parkers Cove,Town
4808042Parkland Beach,Parkland Beach,Summer village
"3549096Parry Sound, Unorganized, Centre Part","Parry Sound, Unorganized, Centre Part",Unorganized
"3549095Parry Sound, Unorganized, North East Part","Parry Sound, Unorganized, North East Part",Unorganized
1009017Parson's Pond,Parson's Pond,Town
2405032Paspébiac,Paspébiac,Ville
4706812Pasqua 79,Pasqua 79,Indian reserve
4819071Peace No. 135,Peace No. 135,Municipal district
5955040Peace River B,Peace River B,Regional district electoral area
5955023Peace River E,Peace River E,Regional district electoral area
4706816Peepeekisis 81,Peepeekisis 81,Indian reserve
5931012Pemberton,Pemberton,Village
4604034Pembina,Pembina,Municipality
5919809Penelakut Island 7,Penelakut Island 7,Indian reserve
1302011Pennfield,Pennfield,Parish
4712051Perdue,Perdue,Village
4712050Perdue No. 346,Perdue No. 346,Rural municipality
2492010Péribonka,Péribonka,Municipalité
3509021Perth,Perth,Town
1312006Perth-Andover,Perth-Andover,Village
2496802Pessamit,Pessamit,Indian reserve
2494205Petit-Saguenay,Petit-Saguenay,Municipalité
4706809Piapot 75,Piapot 75,Indian reserve
4811802Pigeon Lake 138A,Pigeon Lake 138A,Indian reserve
4803801Piikani 147,Piikani 147,Indian reserve
2446025Pike River,Pike River,Municipalité
3547037Pikwakanagan (Golden Lake 39),Pikwakanagan (Golden Lake 39),Indian reserve
4601051Pinawa,Pinawa,Local government district
4601039Piney,Piney,Rural municipality
2430020Piopolis,Piopolis,Municipalité
1001240Placentia,Placentia,Town
1312009Plaster Rock,Plaster Rock,Village
2432040Plessisville,Plessisville,Ville
2432045Plessisville,Plessisville,Paroisse (municipalité de)
2413095Pohénégamook,Pohénégamook,Ville
1008049Point Leamington,Point Leamington,Town
4808039Ponoka,Ponoka,Town
4808038Ponoka County,Ponoka County,Municipal district
4703058Ponteix,Ponteix,Town
5943017Port Alice,Port Alice,Village
1004021Port au Port East,Port au Port East,Town
1004042Port au Port West-Aguathuna-Felix Cove,Port au Port West-Aguathuna-Felix Cove,Town
1009019Port Saunders,Port Saunders,Town
2484020Portage-du-Fort,Portage-du-Fort,Village
2497022Port-Cartier,Port-Cartier,Ville
2434048Portneuf,Portneuf,Ville
2495040Portneuf-sur-Mer,Portneuf-sur-Mer,Municipalité
2445030Potton,Potton,Canton (municipalité de)
2487035Poularies,Poularies,Municipalité
4713835Poundmaker 114,Poundmaker 114,Indian reserve
5927018Powell River D,Powell River D,Regional district electoral area
5927020Powell River E,Powell River E,Regional district electoral area
4605071Prairie Lakes,Prairie Lakes,Rural municipality
4615056Prairie View,Prairie View,Municipality
4709064Preeceville,Preeceville,Town
2409065Price,Price,Village
2432033Princeville,Princeville,Ville
5939805Quaaout 1,Quaaout 1,Indian reserve
5947026Queen Charlotte,Queen Charlotte,Village
2442032Racine,Racine,Municipalité
5901040Radium Hot Springs,Radium Hot Springs,Village
4702031Radville,Radville,Town
1003026Ramea,Ramea,Town
2487010Rapide-Danseur,Rapide-Danseur,Municipalité
4710027Raymore,Raymore,Town
1002037Red Harbour,Red Harbour,Town
4712829Red Pheasant 108,Red Pheasant 108,Indian reserve
3558041Red Rock,Red Rock,Township
4716018Redberry No. 435,Redberry No. 435,Rural municipality
4713064Reford No. 379,Reford No. 379,Rural municipality
1005009Reidville,Reidville,Town
3547048Renfrew,Renfrew,Town
1308017Rexton,Rexton,Village
4601043Reynolds,Reynolds,Rural municipality
4603041Rhineland,Rhineland,Municipality
1308016Richibucto,Richibucto,Parish
1308018Richibucto,Richibucto,Town
2442098Richmond,Richmond,Ville
"1216011Richmond, Subd. B","Richmond, Subd. B",Subdivision of county municipality
"1216001Richmond, Subd. C","Richmond, Subd. C",Subdivision of county municipality
3507040Rideau Lakes,Rideau Lakes,Township
4808044Rimbey,Rimbey,Town
4707072Riverhurst,Riverhurst,Village
1306003Riverside-Albert,Riverside-Albert,Village
2434135Rivière-à-Pierre,Rivière-à-Pierre,Municipalité
2413025Rivière-Bleue,Rivière-Bleue,Municipalité
1008060Robert's Arm,Robert's Arm,Town
2488010Rochebaucourt,Rochebaucourt,Municipalité
4703009Rockglen,Rockglen,Town
1309017Rogersville,Rogersville,Village
4603062Roland,Roland,Rural municipality
4615071Rolling River 67,Rolling River 67,Indian reserve
2487015Roquemaure,Roquemaure,Municipalité
4711031Rosedale No. 283,Rosedale No. 283,Rural municipality
4712006Rosetown,Rosetown,Town
4715032Rosthern,Rosthern,Town
4715031Rosthern No. 403,Rosthern No. 403,Rural municipality
4706017Rouleau,Rouleau,Town
2448015Roxton,Roxton,Canton (municipalité de)
2448010Roxton Falls,Roxton Falls,Village
4819056Rycroft,Rycroft,Village
3552023Sables-Spanish Rivers,Sables-Spanish Rivers,Township
1307008Sackville,Sackville,Parish
1307009Sackville,Sackville,Town
4819059Saddle Hills County,Saddle Hills County,Municipal district
3557071Sagamok,Sagamok,Indian reserve
1302026Saint Andrews,Saint Andrews,Town
1302042Saint David,Saint David,Parish
1302016Saint George,Saint George,Parish
1302021Saint Patrick,Saint Patrick,Parish
2417015Saint-Adalbert,Saint-Adalbert,Municipalité
2477065Saint-Adolphe-d'Howard,Saint-Adolphe-d'Howard,Municipalité
2440010Saint-Adrien,Saint-Adrien,Municipalité
2453015Saint-Aimé,Saint-Aimé,Municipalité
