source,standard,name,agricult,census,zone,economic,health_authority,province,Notes,,
,Abitibi-Témiscamingue,Abitibi,Abitibi-Témiscamingue—Nord-du-Québec,"La Vallee-de-l'Or, MRC",Val-d’Or (CA),Abitibi-Temiscamingue,Region de l’Abitibi-Temiscamingue,Quebec,-,,
,Algoma,Algoma,Northern Ontario Region,"Algoma, DIS","Strong, Ontario",Northeast,Porcupine, District of Algoma,Ontario,"this is the information for the North region, the South region is MIZ none",
,Bas-Saint-Laurent,BSL,Bas-Saint-Laurent,Rimouski-Neigette MRC,Rimouski (CA),Bas-Saint-Laurent,Region du Bas-Saint-Laurent,Quebec,-,,
,Brant,Brant,Southern Ontario Region,"Brant, CDR",Brantford (CMA),Hamilton-Niagara Peninsula,Brant County,Ontario,-,,
,Calgary,Calgary,Census Agricultural Region 3,"Division No. 6, CDR",Calgary (CMA),Calgary,Calgary Zone,Alberta,-,,
,Capitale-Nationale,Capitale,Quebec,"La Cote-de-Beaupre, MRC","None, Quebec",Capitale-Nationale,,Quebec,-,,
,Central,RedDeer,Census Agricultural Region 5,"Division No. 8, CDR",Red Deer (CA),Red Deer,Central Zone,Alberta,"using Red Deer, biggest dot on the map as per the alberta health zones pdf",,
,Chatham-Kent,Chatham,Southern Ontario Region,"Chatham-Kent, CDR",Chatham-Kent (CA),Windsor-Sarnia,Chatham-Kent,Ontario,-,,
,Chaudière-Appalaches,Chaudiere,Chaudiere-Appalaches,"Bellechase, MRC","Moderate, Quebec",Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,Quebec,,,
,Côte-Nord,Cote,Cote-Nord-du-Golfe-du-Saint-Laurent,Saguenay-Lac-Saint-Jean-Cote-Nord,"Moderate, Quebec",Cote-Nord,Region de la Cote Nord,Quebec,"convenient choice, but others were available",,
,Durham,Durham,Western Ontario Region,"Grey, CTY","Moderate, Ontario",Stratford-Bruce Peninsula,Grey Bruce,Ontario,"the ontario one, check this",,
,Eastern,,,,,,,,,,
,Edmonton,Edmonton,Census Agricultural Region 5,"Division No. 11, CDR",Edmonton (CMA),Edmonton,Edmonton Zone,Alberta,"assuming the cits, not the population centre",,
,Estrie,Estrie,Estrie,"Le Haut-Saint-Francois, MRC","Strong, Quebec",Estrie,Region de l’Estrie,Quebec,-,,
,Far North,,,,,,,,,,
,,,,,,,,,,,
,Gaspésie-Îles-de-la-Madeleine,Gaspesie,Gaspesie-Iles-de-la-Madeleine,"La Cote-de-Gaspe, MRC","None, Quebec",Gaspesie-Iles-de-la-Madeleine,Région de la Gaspésie—Îles-de-la-Madeleine,Quebec,,,
,Grey Bruce,GreyBruce,Western Ontario Region,"Grey, CTY",Owen Sound (CA),Stratford-Bruce Peninsula,Grey Bruce,Ontario,using the data for Owen Sound,,
,Haldimand-Norfolk,Haldimand,Southern Ontario Region,"Haldimand-Norfolk, CDR","Strong, Ontario",Hamilton-Niagara Peninsula,Haldimand-Norfolk,Ontario,"not a perfect match, chose the one for Haldimand County",,
,Haliburton Kawartha Pineridge,Haliburton,Central Ontario Region,"Haliburton, CTY","Moderate, Ontario",Muskoka-Kawarthas,"Haliburton, Kawartha, Pine Ridge District",Ontario,"not a perfect match, weith with the Haliburton village, population centre",,
,Halton,Halton,Western Ontario Region,"Halton, RM",Toronto (CMA),Toronto,Halton Regional, Peel Regional,Ontario,,
,Hamilton,Hamilton,Southern Ontario Region,"Hamilton, CDR",Hamilton (CMA),Hamilton-Niagara Peninsula,City of Hamilton,Ontario,,,
,Hastings Prince Edward,Hastings,Central Ontario Region,"Hastings, CTY","Moderate, Ontario",Kingston-Pembroke,Hastings and Prince Edward Counties,Ontario,using the entry for Hastings Highlands,,
,Huron Perth,Huron,Western Ontario Region,"Huron, CTY","Moderate, Ontario",Stratford-Bruce Peninsula,Huron County,Ontario,"using the entry for Huron East, since that seems representative",,
,Renfrew,Renfrew,Eastern Ontario Region,"Renfrew, CTY","Moderate, Ontario",Kingston-Pembroke,Renfrew County and District,Ontario,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Kingston Frontenac Lennox & Addington,Kingston,Eastern Ontario Region,"Frontenac, CTY",Kingston (CMA),Kingston-Pembroke,"Kingston, Frontenac and Lennox and Addington",Ontario,using KinGston City entry,,
,Labrador-Grenfell,LabradorG,Census Agricultural Region 3,"Division No. 10, CDR","Weak, N.L.",West Coast--Northern Peninsula—Labrador,Labrador-Grendell Regional Integrated,Newfoundland and Labrador,using the entry for Labrador City,,
,Lambton,Lambton,Southern Ontario Region,"Lambton, CTY","Moderate, Ontario",Windsor-Sarnia,,Ontario,using the entry for Lambton Shores,,
,Lanaudière,Lanaudiere,Lanaudiere,"Matawinie, MRC","Moderate, Quebec",Lanaudiere,Region de Lanaudiere,Quebec,WARNING –  (chose the Admin Region) results vary depending on the field chosen from StatCan,,
,Laurantides,Laurantides,Laurentides,"Antoine-Labelle, MRC","Moderate, Quebec",Laurentides-Labelle,Region de s Laurentides,Quebec,WARNING – Requires disambiguation,,
,Laval,Laval,Montreal-Laval,"Laval, TE",Montreal (CMA),Laval,Region de Laval,Quebec,"using the entry for Laval, Ville",,
,Leeds Grenville and Lanark,Leeds,Eastern Ontario Region,"Leeds and Grenville, UC","Strong, Ontario",Ottawa,"Leeds, Grenville and Lanark District",Ontario,"using hte entry Leeds and the Thousand Islands, Township",,
,Mauricie,Mauricie,Mauricie,"La Tuque, TE","Weak, Quebec",Mauricie,Region de la Maurice et du Centre-du-Quebec,Quebec,,,
,Middlesex-London,Middlesex,Southern Ontario Region,"Middlesex, CTY",London (CMA),London,Middlesex-London,Ontario,,,
,Montérégie,Monteregie,Monteregie,"Rouville, MRC","Strong, Quebec",Monteregie,Region de la Monteregie,Quebec,,,
,Montréal,Montreal,Montreal-Laval,"Montreal, TE",Montreal (CMA),Montreal,Region de Montreal,Quebec,using the entry for the montreal city,,
,Niagara,Niagara,Southern Ontario Region,"Niagara, RM",St. Catherines – Niagara (CMA),Hamilton-Niagara Peninsula,Niaggara Regional,Ontario,"using the entry for Niagara, Regional Municipality",,
,Nord-du-Québec,NdQ,Abitibi-Témiscamingue—Nord-du-Québec,"Nord-du-Quebec, CDR","None, Quebec",Nord-du-Quebec,Region du Nunnavik,Quebec,,,
,North,NorthZone,"Census Agricultural Region 6,7","Division No. 16, 19 CDR",Grand Prairie (CA), Wood Buffalo (CA),Athabasca-Grand Prairie-Peace River, Wood Buffalo – Cold Lake,North Zone,Alberta,"combined Grande Prairie and Fort McMurray, as per dot size of the pdf of alberta health zones"
,North Bay Parry Sound,NBPS,Northern Ontario Region,"Nipissing, DIS",North Bay (CA),Northeast,North Bay Parry Sound,Ontario,"using North Bay, Census Agglomeration",,
,Island,,,,,,,,,,
,Northwestern,,,,,,,,,,
,,,,,,,,,,,
,Not Reported,,,,,,,Alberta,,,
,Nunavik (DISAMBIGUATE),,,,,,,,no StatCan information,,
,Nunavut,Nunavut,,,Territory,,,Nunavut,no StatCan information,,
,NWT,,,,Territory,,,Noth West Territories,no StatcCan information,,
,Ottawa,Ottawa,Eastern Ontario Region,"Ottawa, CDR",Ottawa-Gatineau (CMA),Otta-Gatineau (Ontario part),City of Attawa,Ontario,,,
,Outaouais,Outaouais,Outaouais,"La Vallee-de-la-Gatineau, MRC","Strong, Quebec",Outaouais,Region de l’Outaouais,Quebec,,,
,Peel,Peel,Western Ontario Region,"Peel, RM",Toronto (CMA),Toronto,Peel Regional,Ontario,,,
,Peterborough,Peterborough,Central Ontario Region,"Peterborough, CTY",Peterborough (CMA),Muskoka-Kawarthis,Peterborough County – City,Ontario,,,
,Porcupine,Porcupine,Northern Ontario Region,"Cochrane, DIS",Timmins (CA),Northeast,Porcupine,Ontario,,,
,,,,,,,,,,,
,Prince Edward Island,,,,Province,,,Prince Ewdard Island,no StatCan information,,
,Regina,Regina,Census Agricultural Region 2,"Division No. 6, CDR",Regina (CMA),Regina-Moose Mountain,Regina Qu’Appelle Regional,Saskatchewan,,,
,,,,,,,,,,,
,Saguenay,Saguenay,Saguenay-Lac-Saint-Jean-Cote-Nord,"Le Saguenay-et-son-Fjord, CDR",Saguenay (CMA),Saguenay-Lac-Saint-jean,Region du Saguenay – Lac Saint-Jean,Quebec,,,
,,,,,,,,,,,
,Simcoe Muskoka (DISAMBIGUATE),Simcoe,Southern Ontario Region,"Haldimand-Norfolk, CDR",Norfolk (CA),Hamilton-Niagara Peninsula,Haldimand-Norfolk,Ontario,,,
,South,Lethbridge,"Census Agricultural Region 1,2","Division No. 1,2, CDR",Lethbridge (CMA),Lethbridge-Medicine Hat,South Zone,Alberta,"combined Lethbridge and Medicine Hat since they’re in the same economic region, and Lethgridge is a CMA (vs MetHat CA)",,
,,,,,,,,,,,
,Southwestern,,,,,,,,,,
,Sudbury,Sudbury,Northern Ontario Region,"Greater Sudbury/Grand Sudbury, CDR",Greater Sudbury (CMA),Northeast,Sudbury and District,Ontario,,,
,Terres-Cries-de-la-Baie-James,,,,,,,,,,
,Thunder Bay,Tbay,Northern Ontario Region,"Thunder Bay, DIS",Thunder Bay (CMA),Northwest,Thunder Bay District,Ontario,,,
,Timiskaming,Timiskaming,Abitibi-Témiscamingue—Nord-du-Québec,"Temiscamingue, MRC","Weak, Quebec",Abitibi-Temiscamingue,Region de l’Abitibi-Temiscamingue,Quebec,,,
,Toronto,Toronto,Central Ontario Region,"Toronto, CDR",Toronto (CMA),Toronto,City of Toronto,Ontario,,,
,,,,,,,,,,,
,Waterloo,Waterloo,Western Ontario Region,"Waterloo, RM",Kitchener-Cambridge-Waterloo (CMA)`,Kitchener-Waterloo-Barrie,Waterloo,Ontario,,,
,Wellington Dufferin Guelph,Wellington,Western Ontario Region,"Wellington, CTY",Guelph (CMA),Kitchener-Waterloo-Barrie,Wellington-Dufferin-Guelph,Ontario,"using the entry Wellington, County Municipality",,
,Western,,,,,,,,using the try corresponding to Windsor-Essex health unit,,
,Windsor-Essex,Windsor,Southern Ontario Region,"Essex, CTY",Windsor (CMA),Windsor-Sarnia,Windsor-Essex County,Ontario,,,
,,,,,,,,,,,
,York,,,,,,,,WARNING – results vary depending...,,
,Yukon,Yukon,Agricultural Region 1,Territories,Yukon,Yukon,Yukon,Yukon,,,
,Zone 4 – Central,Halifax,Census Agricultural Region 3,"Halifax, CTY",Halifax (CMA),Halifax,Zone 4 – Central,Nova Scotia,"CMA due to Halifax, but West Hants is strong/moderate",,
,Zone 2 - Northern,Colchester,Census Agricultural Region 3,"madawaska, MT",Truro (CA),North Shore,Zone 2 – Northern,Nova Scotia,"CA due to Truro, but subdivisions are MIZ",,
,Zone 3 - Eastern,Breton,Census Agricultural Region 5,"Cape Breton, CTY",Cape Breton (CA),Cape Breton,Zone 3 – Eastern,Nova Scotia,"CA due to Cape Breton, but subdivisions are MIZ",,
,Zone 1 – Western,Annapolis,Census Agricultural Region 2,"Annapolis, CTY","Moderate, Nova Scotia",Annapolis Valley,Zone 1 – Western,Nova Scotia,"CMA due to Southwest Cove, but subdivisions are MIZ",,
,,,,,,,,,,,
,Zone 1 (Moncton area),Moncton,Census Agricultural Region 3,"Westmorland, CT",Moncton (CMA),Moncton-Richibucto,Zone 1 (Moncton area),New Brunswick,,,
,Zone 2 (Saint John area),StJohn,Census Agricultural Region 2,"Saint John, CT",Saint John (CMA),Saint John-St. Stephen,Zone 2 (Saint John area),New Brunswick,,,
,Zone 3 (Fredericton area),Fredericton,Census Agricultural Region 1,"York, CT",Fredericton (CA),Fredericton-Oromocto,Zone 3 (Fredericton area),New Brunswick,,,
,Zone 4 (Edmundston area),Edmundston,Census Agricultural Region 1,"Madawaska, CT",Edmundston (CA),Edmundston-Woodstock,Zone 4 (Edmunston area),New Brunswick,,,
,Zone 5 (Campbellton area),Campbellton,Census Agricultural Region 4,"Restigouche, CT",Campbellton (CA),Campbellton (New Brunswick part),Zone 5 (Campbellton area),New Brunswick,,,
,Zone 6 (Bathurst area),Bathurst,Census Agricultural Region 4,"Gloucester, CT",Bathurst (CA),Campbelton-Miramichi,Zone 6 (Bathurst area),New Brunswick,,,
,Zone 7 (Miramichi area),Miramichi,Census Agricultural Region 4,"Northumberland, CT",Miramichi (CA),Campbelton-Miramichi,Zone 7 (Miramichi area),New Brunswick,,,
,,,,,,,,,,,
BC CDC,Fraser East,FraserEast,Lower Mainland-Southwest,"Fraser Valley, RD",Abbotsford – Mission (CMA),Lower Mainland-Southwest,Fraser East HSDA,British Columbia,using Abbotsford,https://www2.gov.bc.ca/gov/content/data/geographic-data-services/land-use/administrative-boundaries/health-boundaries,
,Fraser North,FraserNorth,Lower Mainland-Southwest,"Greater Vancouver, RD",Vancouver (CMA),Lower Mainland-Southwest,Fraser North,British Columbia,"using Burnaby, New Westminster City also works",,
,Fraser South,FraserSouth,Lower Mainland-Southwest,"Greater Vancouver, RD",Vancouver (CMA),Lower Mainland-Southwest,Fraser South,British Columbia,using Surrey, Langley gives the same information,
,East Kootenay,EastKootenay,Kootenay,"East Kootenay, RD",Cranbrook (CA),Kootenay,East Kootenay,British Columbia,"Map #11, using Cranbrook;  Fernie, Kimberley, Windermete, Creston and Golden are MIZ, but subsumed",,
,Kootenay Boundary (12),KootenayBoundary,Kootenay,"Kootenay Boundary, RD","Moderate, BC",Kootenay,Kootenay-Boundary,British Columbia,"Map #12, Moderate because of the West boundary, the others are weak",,
,Okanagan 13,Okanagan,Thompson-Okanagan,"Central Okanagan, RD",Kelowna (CMA),Thompson-Okanagan,Okanagan,British Columbia,"Map #13, Kelowna is the biggest dot",,
,Thompson Cariboo Shuswap,ThompsonCaribooShuswap,Thompson-Okanagan,"Thompson-Nicola, RD",Kamloops (CA),Thompson-Okanagan,Thompson/Cariboo,British Columbia,"Map #14, Kamloops",,
,Northeast,Northeast,Peace River,"Peace River, RD",Fort St. John (CMA) ,Northeast,Northeast HSDA,British Columbia,"Map #53, CA due to  Peace river C reporting to Northeast, but the other divisions arte MIZ",,
,Northern Interior,NorthInterior,Cariboo,"Fraser-Fort George, RD",Prince Georce (CA),Cariboo,Northern Interior HSDA,British Columbia,"Map #52, CA due to Quesnel/Prince George, the others are MIZ",,
,Northwest,Northewest,North Coast,"Kitimat-Stikine, RD",Terrace (CA),North Coast,Northwest HSDA,British Columbia,"Maap #51, CA due to Terrac3e and Kitimat-Stikine E, but other subregions are MIZ",,
,North Shore/Coast Garibaldi,NorthShore,Lower Mainland-Southwest,"Sqquamish-Lilooet, RD","Strong, BC",Lower Mainland-Southwest,North Shore/Coast Garibaldi,British Columbia,"Map #33, Garibaldi, Locality [Place]",,
,Richmond,Richmond,Lower Mainland-Southwest,"Greater Vancouver, RD",Vancouver (CMA),Lower Mainland-Southwest,Richmond,British Columbia,Map #31,,
,Coastal (DISAMBIGUATE),VancouverCoastal,Lower Mainland-Southwest,"Greater Vancouver, RD",Vancouver (CMA),Lower Mainland-Southwest,Vancouver,British Columbia,"Map #3, Vancouver, Richmond",,
,Central Vancouver Island,CentralVancouverIsland,Vancouver Island-Coast,"Nanaimo, RD",Nanaimo (CA),Vancouver Island and Coast,Central Vancouver Island,British Columbia,"Map #42, Nanaimo",,
,North Vancouver Island,NorthVancouverIsland,Vancouver Island-Coast,"Comox Valley, RD",Courtenay (CA),Vancouver Island and Coast,North Vancouver Island,British Columbia,"Map #43, Comox, Town",,
,South Vancouver Island,SouthVancouverIsland,Vancouver Island-Coast,"Capital, RD",Victoria (CMD),Vancouver Island and Coast,South Vancouver Island,British Columbia,"Map#41, Victoria, City",,
,,,,,,,,,,,
UofT api,Interlake Eastern,InterlakeEastern,Census Agricultural Region 11,"Division No. 13, CDR",Strong (Manitoba),Interlake,Interlake-Eastern Regional HA,Manitoba,usin the information for Dunnottar since the rest of areas are weaker,,
,Southern Health,Southernhealth,Census Agricultural Region 9,"Division No. 2, CDR",Steinbach (CA),Southeast,Southern Health,Manitoba,"using Winkler, but Steinback works well too",,
,Prairie Mountain,PrairieMountain,Census Agricultural Region 2,"Division No. 7, CDR",Brandon (CA),Southwest,Prairie Mountain Health,Manitoba,"using the entry for Brandon, others are MIZ",,
,Northern,NorthernHealth,Census Agricultural Region 12,"Division No. 22, CDR",Thompson (CA),North,Northern Regional HA,Manitoba,,,
,Winnipeg,Winnipeg,Census Agricultural Region 9,"Division No. 11, CDR",Winnipeg (CMA),Winnipeg,Winnipeg Regional HA,Manitoba,,,
,,,,,,,,,,,
,,,,,,,,,,,
CanCovidMath,Saskatoon,Saskatoon,Census Agricultural Region 4,"Division No. 11, CDR",Saskatoon (CMA),Saskatoon-Biggar,,Saskatchewan,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan/index-of-communities,,
,Far North West,FNWest,"Census Agricultural Region 6,7","Division No. 17, CDR",Strong,Prince Albert,,Saskatchewan,"choosing Soodsoil, Pierceland also works",,
,Far North Central,FNCentral,Census Agricultural Region 7,"Division No. 18, CDR",Moderate,Northern,,Saskatchewan,choosing Uranium city,,
,Far North East,FNEast,Census Agricultural Region 7,"Division No. 18, CDR",Moderate,Northern,,Saskatchewan,choosing Wollaston Lake (hidden bay),,
,North West,Nwest,Census Agricultural Region 6,"Division No. 17, CDR",Lloydminster (CA),Prince Albert,,Saskatchewan,choosing Lloydminster (Part),,
,North Central,Ncentral,Census Agricultural Region 7,"Division No. 15, CDR",Prince Albert (CA),Prince Albert,,Saskatchewan,"choosine Prince Albert, City",,
,North East,Neast,Census Agricultural Region 5,"Division No. 14, CDR",Moderate,Prince Albert,,Saskatchewan,using Archerwill,,
,Central West,Cwest,Census Agricultural Region 4,"Division No. 12, CDR",Strong,Saskatoon-Biggar,,Saskatchewan,using Harris,,
,Central East,Ceast,Census Agricultural Region 2,"Division No. 6, CDR",Strong,Regina-Moose Mountain,,Saskatchewan,using Holdfast,,
,Regina,,,,,,,,,,
,South West,,,,,,,,,,
,South Central,,,,,,,,,,
,South East,,,,,,,,,,
